stock,direction,RSI,RSIRev,fair_value_mult,drop,climb,geomean,score,sharpe,weighted_sharpe
AAPL,1,0.4398721534159009,0.5601278465840991,0.7401668653158522,0.2511491851232762,0.3568742164646887,0.29938047474178114,0.5075094649934677,0.9763334671479953,-0.5384923060855634
ABMD,0,0.9244906112664802,0.07550938873351976,0.4022646007151371,0.8894692854157961,0.7645215211032177,0.8246322883932429,0.7231995077491664,0.9308712884257888,0.5640545979184691
ABNB,1,0.8367346938775511,0.16326530612244894,0.6094032549728752,0.8811188811188811,0.9813519813519813,0.929885885360486,0.8520027964575729,0.18657416440287078,-0.39688775583627656
ACN,0,0.11745904914103077,0.8825409508589692,0.6424314660309892,0.1316339323025491,0.233597994149603,0.1753551326534245,0.3749004331566041,0.7347907986276054,-0.3869100783517019
ADBE,0,0.1222532960447463,0.8777467039552537,0.0631704410011919,0.15754283326368576,0.6021730045967405,0.30800656041564595,0.27823288606595287,0.8586954825582245,-0.4158789819092926
ADYEY,0,0.3468414779499404,0.6531585220500595,0.347010550996483,0.44718792866941015,0.3484224965706447,0.39472817804566634,0.4822083595086064,0.748606197772543,-0.4290429927197316
AGI,0,0.09109069117059529,0.9089093088294047,0.388160508541915,0.6895110739657334,0.8063100710405349,0.7456270669929748,0.6815750271159242,0.2255473969793118,0.5237796376092629
AMD,0,0.3371953655613264,0.6628046344386735,0.22526817640047675,0.35562055996656916,0.5236105307145842,0.4315167089894815,0.4525575027846655,0.8705960451644723,0.15185721002159247
AMEH,0,0.3192169396723931,0.6807830603276068,0.3108108108108108,0.4350188048474718,0.27580442958629336,0.34638145638914913,0.4394417808709855,0.5249512440455124,-0.5504856413808288
AMGN,0,0.03835397522972433,0.9616460247702757,0.8569725864123957,0.01671541997492687,0.18679481821980778,0.055878026411857185,0.22743759885593742,0.614609860190949,-0.04215910886635062
AMZN,0,0.26488214143028366,0.7351178585697163,0.13031386571315057,0.05348934391976599,0.41036356038445465,0.14815558583308208,0.2312632752910137,0.773582352530832,-0.551705249077783
ANET,1,0.5623853211009174,0.43761467889908257,0.46900638103919784,0.6705314009661836,0.5323671497584541,0.5974687362163064,0.6396645461479703,0.8210991234333188,-0.28066692577952645
APPS,0,0.06352377147423093,0.9364762285257691,0.03456495828367104,0.22106142916840785,0.1671541997492687,0.192227329711659,0.18904560091674127,0.5067818128683789,-0.5418365252626519
AREN,1,0.2664526484751204,0.7335473515248796,0.1747611464968153,0.13414124529878813,0.2530296698704555,0.18423277399519378,0.277520242904764,0.6036358966511147,0.3693295310210553
