stock,sharpe
ASAN,4.146624170119384
efc,3.530100599432761
lly,3.048136798937913
eve,2.5311500557927284
chmt,2.475857692741509
hhs,2.406308971014017
bxsl,2.249160122616841
APSG,2.178347562067517
dwin,1.8869616382939705
irs,1.7572072838054928
iff,1.710964114120083
axh,1.69666503220815
cc,1.67894616799485
cm,1.6211213674098597
fmc,1.5468937672387355
AZEK,1.4919843685523595
calx,1.4777101972293725
bbw,1.3765851651742695
knsl,1.333220092752044
dte,1.3277062453401485
hrl,1.3205010119379914
mmi,1.2816444938707667
AFI,1.278004353718806
ci,1.242749787775032
cnq,1.1854573903949748
glop,1.1409786094357717
AMT,1.1396139284262028
ASH,1.1246321777840758
iiin,1.1205704245212105
bnj,1.0917061915870647
dcue,1.0581008812475234
lmha,1.0552624666053898
mlm,1.0548945597783024
bwg,1.0509721805571597
evh,1.0431070028053469
ag,1.0395763756452308
APA,1.0346286105764626
dole,1.0342184189585482
gia,1.0296532319591294
lspd,1.029070016687773
manu,1.0268719949212926
APN,1.0257214123199725
clr,1.0223786704874591
elc,1.0207195477277051
hsy,1.016134531400581
cmcm,1.0108634898077105
hsy,1.0093479999829202
inaq,0.999073942959811
dhi,0.997035012278331
ARCH,0.9962026566923524
ADM,0.9896630716745988
brx,0.9863192485009228
AZZ,0.9842167226464706
gnw,0.9745505711087824
ATA,0.9743461394366238
evg,0.9743121033847644
k,0.9645115226252186
AIC,0.9606580414721888
mfv,0.9584010882484612
eea,0.9509621271895876
hth,0.9442138958198476
hth,0.9442137186418816
clw,0.943487202996978
ltc,0.9410588594818824
gbab,0.9253477755653096
cndb,0.9244053017935148
esus,0.9143043009602616
lyv,0.9099051122683016
idt,0.9093703203969082
ANDV,0.90404910978489
hae,0.9029591126483872
idt,0.902012978727883
gic,0.8990871833317081
extn,0.8985820791323941
burl,0.8985158185819199
hubb,0.8976692875303802
fnv,0.8961400425034752
AVD,0.8950845954352956
AEG,0.8918497395062244
eqh,0.8898138307309209
fnv,0.8850726464649187
dino,0.8825442652419851
ABC,0.8727606810923311
expr,0.8691219413672113
jnj,0.8623706400583352
bto,0.8566025615597693
lmnd,0.8559075966242351
kcgi,0.852047488565515
hfro,0.8501935418182346
fvrr,0.8497168177437173
ABM,0.8495939198294091
hfro,0.8495109966752338
hri,0.8464175344644882
lft,0.8456054174643934
cube,0.8449084240504593
savn,0.842035540213642
ASGN,0.8418200974103003
dg,0.8400413514932704
lii,0.8375090098648893
gfl,0.8373481830163986
kim,0.8361830514845071
ACA,0.8315060822512207
lub,0.8294885222686672
cldt,0.8275776636940215
lokm,0.8269621439743999
irt,0.8267441903068258
cia,0.8155502230397396
hlly,0.8141860458479981
dco,0.8139464166452224
cag,0.8138877385029594
ipi,0.8135584869974699
kmpr,0.8129688616315646
gva,0.8121937331651324
RERE,0.811666862964983
bcc,0.8097076056142313
hlly,0.8076834203610116
iacc,0.8063896069525699
kmx,0.8046459623695231
culp,0.8038748707850993
gfl,0.8022062222611345
cat,0.8020033136125934
efl,0.7997161527942256
vlt,0.7989269473494129
bv,0.7979747041709861
gl,0.7974852544696924
crhc,0.796882257829992
caci,0.7962075754416871
bg,0.7952278078114265
ACRE,0.794122548167682
ghld,0.7937588396730174
ARIS,0.7933047699461786
uan,0.7931601605012909
ftk,0.7921759998109995
ABEV,0.7920882090958181
eggf,0.7905370265694094
gam,0.7903779335906219
cto,0.7899385170708958
bbu,0.7897167122400581
icd,0.788270894876801
ADCT,0.7882063015999098
chn,0.7881338736317192
flt,0.7833857350530761
ktb,0.7825161399967541
AOMR,0.7809667727313848
hbm,0.7794942612702986
htfa,0.778025169545992
dlx,0.7774029195918346
htfa,0.7773751598573768
jhg,0.776515345066527
gof,0.7762615098605583
bke,0.7759849296884205
hbm,0.7743842234068887
by,0.7737044836017547
cnm,0.7733021764452962
bxp,0.7732403030368415
c,0.7730849767247956
ip,0.7719503623365543
htd,0.7711565499883112
hmn,0.7709812448990591
hmn,0.7704803410862612
MO,0.7704196043739591
AMBC,0.7700668770504123
ANTM,0.7685820870170661
kar,0.7666036889681985
knx,0.7653467320865642
mplx,0.7641463564326536
gmed,0.7639792117959605
WNNR,0.7632202682437005
che,0.7601442907728206
enva,0.7597155930130121
csv,0.7588274789116997
mfa,0.7577628774959865
leju,0.7560293287716632
mhla,0.7527980423281414
mue,0.7510659789244564
cxw,0.7474942001184306
fsly,0.7470182811747212
AYX,0.7449360779599086
tcs,0.7438863550614176
xpoa,0.7424719486464211
AEL,0.7422029737372953
geni,0.7413908853241056
mnso,0.7410422239183307
fpl,0.7408539286941784
fif,0.7400298780255014
ARL,0.7398023883769094
suny,0.7388567600373714
tfg,0.7369604042387363
locc,0.7367737195546217
ida,0.7365023569886969
eqgp,0.7353954176943451
ida,0.7348240356536043
dk,0.7319629278914895
hcp,0.730662614722478
bme,0.7296900930159016
esnt,0.7294891966907457
hngr,0.7257578404645
bit,0.7207376871499618
efx,0.7207137993390319
ce,0.7205716425585739
enfn,0.7184648205925962
eqha,0.7164977267372163
ARI,0.7146712612113845
m,0.7146302868989178
mpx,0.7129124915617351
AGD,0.712156485514848
megi,0.7115306757678812
fra,0.7086084956753725
APO,0.7076373519722814
gms,0.7075453727783276
gsqd,0.706468560639596
gwh,0.7053266917859814
you,0.705018985116111
AEO,0.7047304084199693
cxac,0.7045360946746148
wlyb,0.7027071412287268
eprt,0.7025215260125821
czoo,0.7006123639875869
gsqd,0.7005036863510028
dma,0.6958277442550463
bmez,0.6957468583201347
fbp,0.6925432330236306
brdg,0.6924885972040753
coo,0.6919056443004677
srv,0.6918480005766563
xom,0.6916222278968412
enpc,0.690813955719904
evrg,0.6871236832427222
evc,0.6867506839172764
dlb,0.6859657035689414
lhx,0.6802493223457582
mxl,0.6802262169599458
exc,0.6797292061944245
AWK,0.6787305143085939
cts,0.6772181448357362
cbl,0.6748398857842225
blh,0.6747746966214733
clb,0.67349708321488
bam,0.672995707375595
ds,0.6713968656034346
higa,0.6710744920330278
gms,0.6695454150383794
sbnd,0.6693414303882649
gd,0.6673531016280086
epac,0.6667990129536493
re,0.6648000608513817
msge,0.6647371890243198
gcv,0.6633606103055255
jbl,0.6627694668492059
dri,0.6625733520887506
bb,0.6613503750566516
ggt,0.6609181014970574
hpq,0.6604614047591069
bowl,0.6601079768665534
gls,0.6596337879933467
gkos,0.6587430639936904
bmy,0.6585268701410674
fpac,0.658495056573636
ens,0.6581388778242122
gsqb,0.6575869896795091
hr,0.6573883369310727
scx,0.656698132381806
lmhb,0.6564026527682347
csr,0.6559576804006225
gcv,0.6545802348550469
jeld,0.6534657031366221
mcd,0.6520386483356693
jbgs,0.6503864164726245
cni,0.6502915086091825
clbr,0.6501634848407797
ggt,0.6497810618118713
dea,0.649780758513539
cah,0.6492491918730618
cmsa,0.647694847273884
APLE,0.6476007386104309
bdj,0.645884350478646
kyn,0.6421038023221398
gty,0.6416306122706638
cas,0.6414466968879041
ra,0.640884042532288
gs,0.6403821771012556
flag,0.6403496633326043
br,0.6386705787994983
door,0.638592008820848
AGX,0.6381163793222818
AORT,0.6378731929698827
AFT,0.6376305359633534
agm,0.6373382411526236
AMRX,0.6370890225073995
ma,0.6360589926698822
is,0.635718308577416
fts,0.634646083863287
eix,0.6343937722120329
hlt,0.6339279154697517
hlt,0.6339278505816737
cpac,0.6339271824722641
nfnt,0.6314118199099804
keys,0.6312365408756189
ibm,0.6310798592311962
lpi,0.6310564025798162
mrc,0.6305114242974577
ARES,0.630306666964181
wel,0.629211260556422
fts,0.6269018492775084
frey,0.6261416189613427
iipr,0.6252753180371085
et,0.6224371906363284
hov,0.6219929542873034
gnrt,0.6203094525863396
elat,0.6202579227255766
esab,0.6194363442546883
AEP,0.6191299163424323
AM,0.619082480589525
hov,0.6185943797461627
gtx,0.6182304705797095
low,0.6180194663096139
enov,0.6175799829302062
ipg,0.6171517228714278
fsk,0.6160801970606803
