stock,fair_value_mult,dev_quantile,drop,climb,geomean,score,sharpe,direction,RSI,RSIRev
ROKU,0.9166241341670814,0.125,0.6846715073888816,1.155253699255048,0.8893645437533112,0.5486750740472905,,,,
SE,0.9933692430814144,0.1904761904761904,0.921156932005631,1.6481012658227847,1.2321363178073736,0.7320946461331138,,,,
SHOP,0.9766967937248762,0.2182539682539682,0.9031107904077506,1.4271426631214694,1.1352831974957844,0.7239900253132239,,,,
SPLK,1.0122568519484585,0.4543650793650793,0.971030066478394,1.3739060679711037,1.155034242140487,0.8850572164651906,,,,
TDOC,0.9865574582750086,0.2916666666666667,0.7147817028105852,1.0705297275022556,0.8747542863761308,0.6850075137525605,,,,
TEAM,1.057726762184353,0.7638888888888888,0.9879872197374356,1.8586803054056853,1.355120801743701,1.103671752864798,,,,
TREX,1.0320785331828577,0.6031746031746031,0.9817035463025022,1.2821861486796813,1.1219298949483387,0.9408530740831802,,,,
TTD,0.9332049827380792,0.0932539682539682,0.8314863451878768,1.4865196107076435,1.111764704493448,0.5726872756135378,,,,
TTWO,0.9661122932277012,0.121031746031746,0.8243105887090026,1.0,0.907915518486716,0.5571914535107807,,,,
TWLO,0.9578072509124632,0.1765873015873016,0.8353747759526188,1.218311894178214,1.0088344887242586,0.6441238174176085,,,,
TWTR,0.952952603613266,0.1666666666666666,0.849689495739649,1.228497318369103,1.0216855029619214,0.6380998289128,,,,
UPST,1.1724027429530697,0.6702702702702703,0.9339087905903012,4.50391332042117,2.0509130264343445,1.348358314172997,,,,
VEEV,0.9545329207608972,0.0753968253968253,0.8880352120944831,1.2326793243100718,1.046261270050736,0.5297928190217609,,,,
ZEN,0.9456597983177868,0.1051587301587301,0.7547473150523848,1.0,0.8687619438329379,0.5234141499681744,,,,
ZG,0.9426083627639232,0.1329365079365079,0.6129934031610264,1.0,0.7829389523845562,0.5264508592795938,,,,
ZNGA,1.0145374594898473,0.5674603174603174,0.7885304938221387,1.108312358604121,0.9348465603719612,0.8422112981949725,,,,
^GSPC,0.9935317192956103,0.1408730158730158,0.982726255785556,1.146418025906852,1.061421261405908,0.6301533924930931,,,,
^IXIC,1.0004697953520008,0.2261904761904762,0.9831644087134386,1.166148960575907,1.070754945492386,0.713698228209444,,,,
^NYA,0.9886352785793564,0.119047619047619,0.9785403094981688,1.0842414117779122,1.0300358860990668,0.5944500696283643,,,,
ABMD,0.986993433672419,0.3121272365805169,0.9356724842589492,1.3398805201521615,1.1196826938472104,0.7883316545724502,,,,
ABNB,1.022762206864222,0.6105263157894737,0.7961859695980602,1.2156506019747102,0.983810933678672,0.881709636520199,,,,
AMZN,1.0089534181172266,0.4970178926441352,0.9265049949767254,1.1417375661824447,1.0285064696056143,0.8534229131248157,,,,
ANET,0.9863995512617022,0.2584493041749503,0.9376635412210927,1.262508820311675,1.0880296371314109,0.7411863644040465,,,,
APPH,0.8898584495872738,0.1835443037974683,0.3331812068267586,1.0846954190261426,0.6011656416916945,0.4929042191386921,,,,
ATVI,0.9704519032254876,0.1033797216699801,0.7917926853968635,1.0061498489272416,0.8925592925927942,0.5317051680820326,,,,
AXON,0.9585385272511486,0.1888667992047713,0.9108997622423805,1.4279348583345124,1.1404847754154872,0.6966041292784886,,,,
AYX,0.9842124694453648,0.3956262425447316,0.806509312793046,1.0525470495091007,0.9213517230579932,0.7582391679372363,,,,
BILI,0.99830192811036,0.341948310139165,0.6348443023097549,1.2518264649018211,0.8914678338131351,0.7217028688492599,,,,
BYND,0.9569786451512984,0.393638170974155,0.7171248873079027,1.1124902105591217,0.8931933815688263,0.7404105718581954,,,,
COUR,0.988441017260904,0.6086956521739131,0.6455172177018791,1.0915451737461184,0.8394112243426988,0.806910052119683,,,,
CPNG,0.9675426936948534,0.5426356589147286,0.6184397447097838,1.0293423558322636,0.7978635370537198,0.7603419037147886,,,,
DDOG,1.0015510999070705,0.348,0.9597587053615424,1.8950391615877096,1.3486216416530037,0.8922943670754622,,,,
DOCU,0.926943084565242,0.0596421471172962,0.8747621735170208,1.5054395854108498,1.1475633332555366,0.5194454138342797,,,,
DUOL,1.0685929845053137,0.7878787878787878,0.9154410289196176,1.3225833892822263,1.1003395379229617,1.004803851167014,,,,
EDIT,0.9829733149798237,0.4473161033797216,0.8631751710599315,2.012144366963869,1.3178896229014458,0.9348212681112328,,,,
ELIO,0.8226158857544023,0.1669980119284294,0.6794231118394086,2.2793548547117566,1.2444462095143063,0.6791491521687035,,,,
ETSY,1.028692874687786,0.5308151093439364,0.9489800797301192,1.3576857466984438,1.1350844585978328,0.9158436544789538,,,,
FSLY,0.9997888292290024,0.4970178926441352,0.5832115727648555,1.1195818072599464,0.8080551136222037,0.7547281824844513,,,,
FUV,0.9509684933266708,0.4572564612326044,0.6356425465232696,1.61559144695145,1.0133798209365694,0.8174620892918831,,,,
GH,1.0339509216924063,0.614314115308151,0.7633390077955395,1.280449585087449,0.9886440794405555,0.8876517011464644,,,,
GMED,0.9914269064236392,0.2882703777335984,0.9584820608478268,1.3417152492668063,1.1340238080341187,0.7786212742226624,,,,
INTG,1.0362026319712705,0.7872763419483101,0.9281309586267796,1.4443778222755912,1.1578306321772216,1.0226228453939898,,,,
ISRG,0.9840757428613922,0.1630218687872763,0.949434572363777,1.4697419429221972,1.1812805818532035,0.6878522005742495,,,,
JD,1.0530820595582664,0.7833001988071571,0.9390886211744334,1.2891140044906575,1.1002691911590472,0.9996479711818668,,,,
LULU,1.0317793723483986,0.6003976143141153,0.9989191421833932,1.4229957995554394,1.192249027436169,0.9687014240165374,,,,
LUV,0.9869569509418098,0.3658051689860835,0.7602184196916939,1.028927341938955,0.8844260951975623,0.7289836469226517,,,,
MDB,1.0556435307736038,0.6620278330019881,0.9558345253338116,1.981694815372335,1.37628933121197,1.0726381924054662,,,,
MELI,1.0006802311328993,0.3121272365805169,0.9481940737015232,1.4287663983878227,1.1639363520636354,0.8065315540647172,,,,
MNST,0.9880527988260372,0.1848906560636183,0.9655835459624488,1.0849636189294376,1.023534571182692,0.6614165186978909,,,,
MTCH,1.0505558461735884,0.731610337972167,0.976787615523044,1.237000786415402,1.0992211099514195,0.981673967840028,,,,
NVCR,0.923884889984929,0.1312127236580517,0.5742086963733015,1.043670922103704,0.7741349492329418,0.5191666552047565,,,,
