Date,Open,High,Low,Close,Adj Close,Volume
12/31/65,528.690002,528.690002,528.690002,528.690002,528.690002,0
1/3/66,527.210022,527.210022,527.210022,527.210022,527.210022,0
1/4/66,527.840027,527.840027,527.840027,527.840027,527.840027,0
1/5/66,531.119995,531.119995,531.119995,531.119995,531.119995,0
1/6/66,532.070007,532.070007,532.070007,532.070007,532.070007,0
1/7/66,532.599976,532.599976,532.599976,532.599976,532.599976,0
1/10/66,533.869995,533.869995,533.869995,533.869995,533.869995,0
1/11/66,534.289978,534.289978,534.289978,534.289978,534.289978,0
1/12/66,533.340027,533.340027,533.340027,533.340027,533.340027,0
1/13/66,534.400024,534.400024,534.400024,534.400024,534.400024,0
1/14/66,535.450012,535.450012,535.450012,535.450012,535.450012,0
1/17/66,537.460022,537.460022,537.460022,537.460022,537.460022,0
1/18/66,538.940002,538.940002,538.940002,538.940002,538.940002,0
1/19/66,537.669983,537.669983,537.669983,537.669983,537.669983,0
1/20/66,535.669983,535.669983,535.669983,535.669983,535.669983,0
1/21/66,535.97998,535.97998,535.97998,535.97998,535.97998,0
1/24/66,537.669983,537.669983,537.669983,537.669983,537.669983,0
1/25/66,538.099976,538.099976,538.099976,538.099976,538.099976,0
1/26/66,537.570007,537.570007,537.570007,537.570007,537.570007,0
1/27/66,537.359985,537.359985,537.359985,537.359985,537.359985,0
1/28/66,535.669983,535.669983,535.669983,535.669983,535.669983,0
1/31/66,533.340027,533.340027,533.340027,533.340027,533.340027,0
2/1/66,529.109985,529.109985,529.109985,529.109985,529.109985,0
2/2/66,531.440002,531.440002,531.440002,531.440002,531.440002,0
2/3/66,532.070007,532.070007,532.070007,532.070007,532.070007,0
2/4/66,535.450012,535.450012,535.450012,535.450012,535.450012,0
2/7/66,537.25,537.25,537.25,537.25,537.25,0
2/8/66,536.830017,536.830017,536.830017,536.830017,536.830017,0
2/9/66,539.890015,539.890015,539.890015,539.890015,539.890015,0
2/10/66,538.409973,538.409973,538.409973,538.409973,538.409973,0
2/11/66,538.309998,538.309998,538.309998,538.309998,538.309998,0
2/14/66,537.780029,537.780029,537.780029,537.780029,537.780029,0
