stock,price,sim1_direction,sim2_direction,sim3_direction,sim4_direction,sim5_direction,RSI,RSIRev,fair_value_mult,geomean,sharpe
BIIB,208.4600067138672,1,1,1,1,1,0.7181745396317054,0.2818254603682946,0.6994426751592356,0.8253768844221105,0.1552877841149039
BK,146.6199951171875,0,0,0,0,0,0.6305044035228182,0.3694955964771818,0.5804140127388535,0.806323283082077,0.7376726144404403
BKH,72.16000366210938,0,0,0,0,0,0.2546036829463571,0.7453963170536428,0.18829617834394904,0.36515912897822445,0.3282356308265087
BKNG,181.02999877929688,1,1,1,1,1,0.6489191353082466,0.35108086469175337,0.7257165605095541,0.2613065326633166,0.5557618314073896
BKR,53.25,0,0,0,0,0,0.02321857485988791,0.9767814251401121,0.05374203821656051,0.1972361809045226,0.4057845845826385
BLD,354.5299987792969,0,0,0,0,0,0.04683746997598078,0.9531625300240192,0.01731687898089172,0.05799832495812395,0.7458390495120756
BLDR,82.33000183105469,1,1,1,1,1,0.4363490792634107,0.5636509207365893,0.41878980891719747,0.16959798994974876,0.6464319431639493
BLFS,27.790000915527344,1,1,0,1,1,0.7261809447558046,0.27381905524419536,0.5406050955414012,0.6733668341708543,0.7531575960663554
BLK,1011.2100219726562,1,1,1,1,1,0.38710968775020016,0.6128903122497998,0.5111464968152867,0.23785594639865998,0.6286666291044346
BMY,56.70000076293945,1,1,1,1,1,0.5348278622898318,0.4651721377101682,0.660031847133758,0.445142378559464,0.16171974244527046
BR,144.77000427246094,1,1,1,1,1,0.4519615692554043,0.5480384307445957,0.7921974522292994,0.027219430485762145,0.5238174122343291
BRO,68.43000030517578,1,1,1,1,1,0.8823058446757406,0.11769415532425942,0.9992038216560509,0.3923785594639866,0.7101623948002577
BROS,68.08999633789062,1,1,0,1,1,0.6926952141057935,0.3073047858942065,0.6024896265560166,0.8390379278445883,0.5183761733360436
BSX,44.599998474121094,1,1,1,1,1,0.1257005604483587,0.8742994395516412,0.16719745222929935,0.0041876046901172526,0.37105061150522656
BTG,4.050000190734863,1,1,1,1,1,0.34867894315452364,0.6513210568454764,0.37977707006369427,0.06532663316582915,0.36559048994461607
BURL,312.3599853515625,0,0,0,0,0,0.23378702962369896,0.766212970376301,0.20939490445859874,0.2851758793969849,0.5783415724882938
BX,123.41999816894531,1,1,1,1,1,0.5696557245796637,0.43034427542033626,0.7535828025477707,0.23241206030150754,0.771363443430276
BXP,69.97000122070312,1,1,1,1,1,0.9811849479583667,0.01881505204163325,0.9721337579617835,0.9560301507537688,0.09688695841590678
BYDDY,10.630000114440918,1,1,1,1,1,0.5180144115292233,0.48198558847077666,0.767515923566879,0.27721943048576214,0.6013466333763604
BYND,0.7343999743461609,0,0,0,0,0,0.6975964225824483,0.30240357741755175,0.7232390460343872,0.6360929124478857,-0.0667593812772731
BYRN,7.079999923706055,1,1,1,1,1,0.885140562248996,0.11485943775100405,0.8771084337349397,0.1838358458961474,0.5587519881402748
C,143.86000061035156,1,1,1,1,1,0.7489991993594876,0.25100080064051244,0.6743630573248408,0.830820770519263,0.6362818143411515
CAG,13.789999961853027,1,1,1,1,1,0.577662129703763,0.42233787029623704,0.45820063694267515,0.09882747068676717,-0.09779785332376903
CAH,237.52000427246094,1,1,1,1,1,0.9467574059247398,0.05324259407526022,0.8801751592356688,0.8295644891122278,0.6195329531686785
CARR,70.0999984741211,0,0,0,0,0,0.42182514358647094,0.5781748564135291,0.30487033523086654,0.6753603294440631,0.9694935566999479
CART,47.349998474121094,1,1,1,1,1,0.8002915451895044,0.1997084548104956,0.8485714285714285,0.8828125,0.49821526671422584
CASY,807.1799926757812,0,0,0,0,0,0.3530824659727782,0.6469175340272217,0.38136942675159236,0.7776381909547738,0.8095418896242618
CAT,969.9199829101562,0,0,0,0,0,0.399919935948759,0.6000800640512409,0.22412420382165604,0.8438023450586265,1.0529544701612663
CB,356.5299987792969,1,1,1,1,1,0.9395516413130505,0.06044835868694953,0.9812898089171974,0.783500837520938,0.6252158638675224
CBRE,140.5500030517578,1,1,1,1,1,0.6841473178542834,0.3158526821457166,0.8781847133757962,0.17964824120603015,0.6984179007784487
CCI,74.91999816894531,0,0,0,0,0,0.0488390712570056,0.9511609287429944,0.005971337579617835,0.09170854271356783,0.17526325910763438
CCL,27.510000228881836,0,0,0,0,0,0.3322658126501201,0.6677341873498799,0.21019108280254778,0.3712311557788945,0.2342300944295087
CDNS,375.7699890136719,0,0,0,0,0,0.3402722177742194,0.6597277822257805,0.2627388535031847,0.6515912897822446,0.972157991173129
CDW,134.19000244140625,1,1,1,1,1,0.5484387510008006,0.45156124899919936,0.669187898089172,0.8417085427135679,0.5881479329742668
CEG,245.8699951171875,0,0,0,0,0,0.11956521739130435,0.8804347826086957,0.13506261180679785,0.047283702213279676,1.068442537586033
