stock,buy_pt_up,sell_pt_up,buy_pt_down,sell_pt_down,price
AAPL,1.006104846545345,0.9956874322968432,1.0095290299060347,0.9928829715278568,157.64999389648438
ABMD,1.0039752124924208,0.997234235612916,1.0047487274445588,0.9969944632407457,286.5799865722656
ABNB,1.005999886368309,0.9945810446958515,1.0114425208867985,0.9877139662680161,153.2100067138672
ADYEY,1.0235363208205417,0.9822250873267666,1.0288471302805078,0.9669603611007505,16.670000076293945
AMD,1.0115649926799934,0.9928623633242918,1.0110928512076742,0.9911096243300083,85.5199966430664
AMZN,1.0053769177250755,0.9965014761287154,1.0084304378685929,0.9941211658272895,2485.6298828125
ANET,1.0064193670141008,0.9948226895575997,1.008138180778757,0.9939281521751241,115.56999969482422
APPH,1.0050813408415478,0.9948534058889552,1.0133274709084723,0.9972992223485083,4.110000133514404
AXON,1.007215440579648,0.9957834007275991,1.0068482493205504,0.9962902370812965,112.19999694824219
BROS,1.004022240720866,0.9995317901999378,1.0089048217450782,0.9961747545793115,47.77000045776367
BYND,1.0179022084759424,0.9872801698403758,1.0128198973586167,0.9845108862161379,36.880001068115234
CHWY,1.0078850628926062,0.9947012300195641,1.0106981542370557,0.9927358125350352,29.059999465942383
COIN,1.018151360183389,0.9846733941467032,1.011826575205814,0.9820186162724449,112.70999908447266
COUR,1.0032995377949918,0.9957466846296363,1.0067900573136392,0.9940781864806792,18.809999465942383
CRWD,1.0121030123875838,0.9935229213838797,1.0087060705855997,0.9884217578212818,198.75999450683594
DDOG,1.0074110872317685,0.994794503269073,1.0095707812056405,0.9861849908185337,120.77999877929688
DKNG,1.007783039574778,0.9953847903170897,1.0146397053098068,0.9932306101137072,13.680000305175781
DOCS,1.0119385200288271,0.9839638804472265,1.0119285131400264,0.9928948307516973,39.869998931884766
DOCU,1.006895359449023,0.9936279232713429,1.0110130405790902,0.9926675922268573,81.0
DUOL,1.0023615740116838,0.9899181620864796,1.0053270463671145,0.9963691465826008,86.47000122070312
DVN,1.008949809154646,0.9911876957431153,1.010205433237391,0.9899966992992564,58.16999816894531
EDIT,1.0086124950836,0.9964689033777389,1.007083085700397,0.9944300146160475,13.239999771118164
ETSY,1.0057198878831877,0.9958403096144044,1.0104065408128649,0.9940824530450117,93.19000244140625
FLGT,1.0119200733005844,0.9888702939172709,1.0151403721003047,0.9909150362384967,54.880001068115234
FUV,1.0149805265295417,0.993269321561035,1.0121527243129653,0.9934065475712641,3.359999895095825
FVRR,1.0091063626371173,0.9872931681615312,1.0123826779212453,0.99451639799518,53.25
GH,1.005878481370253,0.993146086903998,1.0092030809864487,0.9950638499273141,61.70000076293945
GMED,1.0039999217308486,0.9978232710165424,1.0039603950885128,0.9968658984255881,66.22000122070312
GOOG,1.0055471518340944,0.9967495292205379,1.0059634989605395,0.9943522654568961,2299.330078125
INTG,1.0158836779077605,0.9728761238996525,1.0224687187791723,0.9834780000140929,53.5
ISRG,1.0034112136948012,0.9954626298973599,1.006405320892524,0.99492898418054,239.3000030517578
JD,1.0117948195706712,0.9894650495570565,1.016747575371875,0.9867421820857672,61.65999984741211
LSPD,1.0123699215840352,0.990376651789613,1.015556928107723,0.988812503150562,22.350000381469727
LULU,1.0048802597505047,0.9963224390661067,1.006344445208572,0.995397354112885,354.6300048828125
MDB,1.0083270214992548,0.9946249231756181,1.0094105943016953,0.9930044799464053,354.92999267578125
MELI,1.005979925775065,0.9964005071708237,1.007405048182048,0.9927815909959866,973.6300048828125
MNST,1.003550214926781,0.9978021271275462,1.0047599183653013,0.9959342455836491,85.68000030517578
MSFT,1.0041104070380353,0.9961544642249522,1.0078462510735693,0.9940690852273474,277.5199890136719
MTCH,1.003962253978218,0.9981833736047236,1.006035322713957,0.9966804413840588,79.1500015258789
NVCR,1.005816058953342,0.9966699652344665,1.0074433880738047,0.9940078694653018,76.58000183105469
NVDA,1.00976214250876,0.9948507113635093,1.0105610969298657,0.9921097055051146,185.47000122070312
NYT,1.0029110255075238,0.9978673346590156,1.0032387360668749,0.9966124158411972,38.31999969482422
OKTA,1.0053559356617459,0.9965008212880376,1.010243698582133,0.9950342799699833,119.30999755859375
OPEN,1.0126292429718695,0.993418491324119,1.0169273326269943,0.9866361405814215,6.989999771118164
PANW,1.0070175512924189,0.9962685871255691,1.0078690821284872,0.994999004322149,561.280029296875
PINS,1.0127779678983164,0.9842687137337661,1.010324159828566,0.9927081131922366,20.520000457763672
PTON,1.0122629765567341,0.9871695539461071,1.0111011501750964,0.9899259482757649,17.559999465942383
QDEL,1.0031165511638684,0.9976317775514509,1.003902338292643,0.9968270132723018,100.62000274658203
RBLX,1.0060863850571586,0.9827598625517573,1.0106565407711825,0.9892974345634975,30.649999618530273
RDFN,1.0071074344058966,0.9927375284042762,1.0093630609590811,0.9934683937093813,11.149999618530273
RGEN,1.0042889942365347,0.9984529938882223,1.0051118381538253,0.9975275236451775,157.24000549316406
ROKU,1.0151104951589482,0.9894319137803674,1.0145224846359986,0.9942673932501691,92.9000015258789
RVLV,1.0103736086385067,0.9961878843833579,1.0092608212971712,0.9922555498660957,42.2599983215332
SE,1.0110151161106866,0.9915441777806593,1.0174909304081967,0.9879597764860499,82.76000213623047
SHOP,1.0075440236022262,0.994377019415683,1.0113509143940616,0.9930207602550676,426.82000732421875
SNOW,1.0063945910427456,0.9936563957537585,1.0201681063331869,0.9908661400842524,171.44000244140625
SPLK,1.0052898787286488,0.9948340081479959,1.0080616965536373,0.9945130172210772,122.0199966430664
SQ,1.01013078382019,0.9935398870100277,1.0142626076586538,0.9898814346265757,99.54000091552734
