stock,direction,RSI,RSIRev,fair_value_mult,dev_quantile,drop,climb,geomean,score,sharpe
AAPL,1,6378.2527127535695,3621.7472872464305,1.026456196372747,0.6149562450278441,0.9795775295272025,1.2424316363581345,1.1032035682276145,0.9362115359465656,1.325850224784921
ABMD,0,4522.651936168617,5477.348063831383,0.9727103518927094,0.20763723150357996,0.913078120292469,1.2286287162804923,1.0591666529865549,0.6899289065040949,0.7624523797076835
ABNB,1,6313.564274058506,3686.4357259414937,1.0284384308897772,0.6329113924050633,0.9609091943387619,1.5097815683831608,1.2044762307752592,0.9857786762660002,0.972965483899345
ADSK,1,6384.65400881539,3615.3459911846103,1.0353978123526943,0.7223548130469372,0.9657580226227928,1.211116391248489,1.081501442984795,0.967114745724754,0.9812162359337833
AMZN,1,6005.895667130794,3994.104332869206,1.0250361702473216,0.6563245823389021,0.9511150164667226,1.1135829473786296,1.0291479307335203,0.918762726592175,1.1804625059632428
ANET,1,8155.269295308255,1844.730704691745,1.077291101062492,0.9268098647573588,0.9942788728712185,1.5809916691955668,1.2537729518802654,1.1192842128479301,1.017615351145118
APPH,1,4708.16613621603,5291.83386378397,0.9517246514411486,0.3774104683195592,0.28699553146317497,1.1228070371124304,0.5676624017377536,0.5832790532772896,0.023351499950367748
AXON,0,4621.191766295571,5378.808233704429,0.9452537289114,0.12092283214001591,0.893534521067325,1.330025325668137,1.0901484038323825,0.6070954654157225,0.9791035542243851
BBY,1,6693.909881038505,3306.090118961495,1.0416079287591564,0.781225139220366,0.9795767590301697,1.268474349055806,1.114705338536149,1.0027672978027808,0.8139598076480191
BROS,0,4434.890625436225,5565.109374563775,0.8955847336103152,0.0,0.7457049260373976,1.5501635806237508,1.0751579503658528,0.0,1.4348363988146786
BYND,0,2768.8576342604238,7231.142365739576,0.9026028233566569,0.13043478260869565,0.5109530663150302,1.0,0.7148098112890101,0.49524235377627573,0.4827524279133021
CDNS,1,7122.521571200197,2877.4784287998027,1.0702692351987708,0.949085123309467,1.0,1.5147652234549522,1.230757987361834,1.113745297683819,1.37971403128183
COUR,1,5557.47394905212,4442.52605094788,1.0246055358288804,0.7839506172839507,0.7569755130564614,1.165628113555869,0.9393359033338337,0.9175332518213328,-0.28952899968553714
CRWD,0,4854.7110173942765,5145.2889826057235,0.9989500135165293,0.3555194805194805,0.9201855703627031,1.3036628761792122,1.095267897492504,0.8079081128397408,1.219118340211172
DDOG,1,6755.18535702202,3244.81464297798,1.051838837526887,0.6215722120658135,0.9679487020247861,2.1510458006931232,1.4429490603540984,1.0801540494615398,1.5660820439943801
DKNG,0,2454.890202789116,7545.109797210884,0.8677596474777609,0.03924914675767918,0.594785613648025,1.0,0.7712234524753672,0.3772658819588273,1.2417412097391938
DOCU,0,4761.146669001792,5238.853330998208,0.9943374279669389,0.34075723830734966,0.8615384797097715,1.371604596237163,1.0870557201013664,0.7954641690663519,1.3051378393777522
DUOL,0,3840.667959544301,6159.332040455699,0.9434825435545996,0.225,0.69702499914932,1.1773333231608072,0.9058867250239556,0.6460498717090234,0.5905044730639655
EDIT,0,4099.155790134918,5900.844209865082,0.940799946178451,0.22673031026252982,0.5045242391734565,1.11718277994164,0.7507634727847,0.588848107790324,0.5965304215040425
ETSY,1,6735.534754177365,3264.4652458226346,1.1016926216536533,0.8973747016706444,0.984551028157694,1.7271503470473553,1.304019804285346,1.1386772904728364,1.3668527851370886
FTCH,1,6274.5402749028835,3725.4597250971165,1.0587665325255724,0.757537688442211,0.8422329995093456,1.2859178522168087,1.0406932544199459,0.9654115316854144,0.5477552902942456
FUV,1,4571.937532676603,5428.062467323397,0.9613077988559261,0.5209923664122137,0.6029492235861634,1.3799999952316284,0.9121786698195806,0.8034584317114278,0.6532172022557089
FVRR,1,4713.280580477793,5286.719419522207,0.980507135623355,0.33658536585365856,0.673897912449012,1.1010930660774867,0.8614083344394227,0.7034626306206591,1.330853968922484
GH,0,4196.222180317854,5803.777819682146,0.9700824166883273,0.2388818297331639,0.7969282234264496,1.0664169830003614,0.9218773192210948,0.666169128088479,0.9462770760326534
GMED,0,2970.3874780711003,7029.6125219289,0.9463591670939695,0.05250596658711217,0.8386866767496418,1.009884006095647,0.9203131320235376,0.45293300883281984,0.913780406435746
GOOG,1,5977.789084821948,4022.2109151780523,1.0193999071246165,0.5918854415274463,0.9961008108437266,1.2408855647287012,1.1117765590218813,0.9292965362143374,1.1478639992109747
INTG,1,5352.067773292099,4647.932226707901,1.011324472454029,0.6467780429594272,0.9038535350335466,1.406596761430538,1.1275448794552392,0.9549450121092933,0.5258432890760848
ISRG,1,5990.2243221699155,4009.7756778300845,1.022515985973671,0.5616547334924423,0.9890536920447269,1.3276924115212607,1.1459315343923782,0.9318890696858249,1.1918116236941934
JD,1,5495.679271917131,4504.320728082869,1.0149494535605115,0.5369928400954654,0.9674229724051137,1.3370317311788482,1.1373105167793869,0.9163106934564734,0.7672928953569198
LSPD,0,3040.3139883995364,6959.686011600464,0.8764287827199809,0.03666666666666667,0.5431235246832768,1.0121329768225722,0.741426483085176,0.36457011297805114,1.302038452382667
LULU,1,5994.711965076996,4005.2880349230036,1.0228427543227632,0.5330151153540175,0.97474418356651,1.4678598999235715,1.1961554663759308,0.9397902048075591,1.2718369272077075
MDB,1,6170.547390434685,3829.4526095653146,1.0586218309659308,0.6809338521400778,0.974308961003354,2.1021575247300435,1.431136231735159,1.1023053904340796,1.5071160001484225
