,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe,et,schwab,rollover,roth,simple,fid,Owned,inEt,inFid,in_self_managed,currentlyActive,status,status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,sharpe_adj_status,w_sharpe_adj_status,mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,et_target,et_diff,et_bid_ask,et_nshares,up_down,exact_amt,fid_target,fid_diff,fid_bid_ask,fid_nshares,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares
POOL,336.1199951171875,0,0.097444089456869,0.902555910543131,0.392374900714853,0.164578111946533,0.8117835604848535,1.7343482218154576,0,0,0,0,0,0,0,0,0,1.0,1,0.1588392433883116,0.9845496324182466,0.8117835604848535,1.9586565540296594,1.7343482218154576,3.595809029014433,1.9384179698594004,3.5254077632501195,2.73191286655476,0.0,0.0,0.012219876515235878,0.0,0.0,337.13134602656396,0,1,0.0,0.0,0.0,337.13134602656396,0,126.23865632829573,126.23865632829573,326.7694098903533,0
AMBA,53.400001525878906,1,0.1709265175718849,0.829073482428115,0.2140587768069896,0.1236424394319131,0.4631397115202573,0.5220552748559077,0,0,0,0,0,0,0,0,0,1.0,1,0.16120435361845675,0.9690101412231382,0.4631397115202573,1.6100127050650634,0.5220552748559077,2.383516082054883,1.586425537412864,2.3202145788496154,1.9533200581312395,0.0,0.0,0.0016867831549957134,0.0,0.0,53.393453815875034,0,1,0.0,0.0,0.0,53.393453815875034,0,17.425482060998714,17.425482060998714,50.991444054967566,0
KR,43.45000076293945,0,0.088258785942492,0.911741214057508,0.5722795869737887,0.1821219715956558,0.4801456879186226,-0.0945009496022084,0,0,0,1434,0,1434,1434,0,1,1.0,1,0.16156359027582787,0.9666809869203354,0.4801456879186226,1.6270186814634287,-0.0945009496022084,1.766959857596767,1.6008445018975808,1.733761417445938,1.6673029596717592,0.0,0.002524369988166277,0.00043484527271960965,0.0,0.0,43.58401903880959,0,1,0.0,355.8432715158805,-1078.1567284841194,44.22628719721197,-24,4.492212574357199,4.492212574357199,42.61667106920532,0
GTLS,151.16000366210938,0,0.1114217252396166,0.8885782747603834,0.1362192216044479,0.4870509607351712,0.3170013233579031,0.6677287756895199,0,0,0,0,0,0,0,0,0,1.0,1,0.16331693197928435,0.9554279880679648,0.3170013233579031,1.463874316902709,0.6677287756895199,2.5291895828884954,1.4392192339826921,2.4267201335285162,1.932969683755604,0.0,0.0,0.0021162359103978805,0.0,0.0,151.72564419228436,0,1,0.0,0.0,0.0,151.72564419228436,0,21.86198669595634,21.86198669595634,144.96360998750538,0
TPX,40.959999084472656,0,0.125,0.875,0.1636219221604448,0.3245614035087719,0.5196524665965719,1.0118430369935765,0,0,0,0,0,0,0,0,0,1.0,1,0.17449234220828277,0.8878858263920048,0.5196524665965719,1.666525460141378,1.0118430369935765,2.8733038441925522,1.5737787941803503,2.5526453746413664,2.0632120844108583,0.0,0.0,0.0037625613310727675,0.0,0.0,41.00654746648571,0,1,39.78546901013561,0.0,0.0,41.00654746648571,0,38.86951608678033,38.86951608678033,39.78546901013561,1
AAON,57.27999877929688,0,0.1952875399361022,0.8047124600638977,0.4245432883240667,0.1086048454469507,0.6703300520592103,0.4762118190814898,0,0,0,0,0,0,0,0,0,1.0,1,0.17981494407746496,0.8580279926743869,0.6703300520592103,1.8172030456040162,0.4762118190814898,2.3376726262804652,1.669457727266655,2.0721764344083136,1.8708170808374844,0.0,0.0,0.0014947879605206745,0.0,0.0,57.398780637696554,0,1,0.0,0.0,0.0,57.398780637696554,0,15.442056504954879,15.442056504954879,55.6844367187977,0
NKE,97.11000061035156,1,0.5179712460063898,0.4820287539936102,0.8617950754567116,0.0802005012531328,0.5369294332320383,0.3525332701738612,0,0,0,0,0,0,0,0,0,1.0,1,0.1928054298880827,0.7905526625488365,0.5369294332320383,1.6838024267768446,0.3525332701738612,2.2139940773728366,1.5097152994501215,1.8744772132533034,1.6920962563517126,0.0,0.0,0.0010877882993460648,0.0,0.0,96.86329093163009,0,1,0.0,0.0,0.0,96.86329093163009,0,11.237505805224455,11.237505805224455,94.54212136962605,0
MELI,1237.530029296875,0,0.1589456869009584,0.8410543130990416,0.2009531374106433,0.2882205513784461,0.6978268393210687,1.0158768270077625,0,0,0,1238,0,1238,1238,1,1,1.0,2,0.20356500559584415,0.7397079459506429,0.6978268393210687,1.8446998328658748,1.0158768270077625,2.877337634206738,1.572922625563305,2.1853407353729417,1.8791316804681233,0.01904176993306264,0.017440855778801,0.0068922974809003884,1946.6953613897995,1946.6953613897995,1179.1743133961531,2,1,0.0,2458.518841318281,1220.518841318281,1179.1743133961531,1,71.20156835618954,71.20156835618954,1179.1743133961531,0
ASML,597.3599853515625,1,0.2907348242811501,0.7092651757188498,0.6882446386020651,0.1044277360066833,0.7127783005839995,1.3959071138912782,0,0,0,2389,0,2389,2389,0,1,1.0,1,0.20734653424481247,0.7227914111664052,0.7127783005839995,1.8596512941288057,1.3959071138912782,3.2573679210902537,1.5658234258943762,2.3479872215064326,1.9569053237004044,0.0,0.017478981565989527,0.005894548894041104,0.0,0.0,592.5719311896407,0,1,0.0,2463.8931742828945,74.8931742828945,575.5096071648102,0,60.89422680478101,60.89422680478101,575.5096071648102,0
NFLX,381.510009765625,0,0.1473642172523961,0.8526357827476039,0.2597299444003177,0.2698412698412698,0.7040163186071564,1.2578577987972157,0,0,0,0,0,0,0,0,0,1.0,1,0.2091766767920228,0.7147695477509224,0.7040163186071564,1.8508893121519625,1.2578577987972157,3.1193186059961913,1.5527995682481743,2.2549600590315015,1.903879813639838,0.0,0.0,0.004822719146772612,0.0,0.0,382.05747899575437,0,1,0.0,0.0,0.0,382.05747899575437,0,49.82158241764914,49.82158241764914,367.0102065364451,0
CMG,1822.27001953125,0,0.1725239616613418,0.8274760383386581,0.222001588562351,0.2510442773600668,0.5836875408681677,1.7827412246118413,0,0,0,0,0,0,0,0,0,1.0,1,0.21002329697762964,0.711094072127078,0.5836875408681677,1.7305605344129737,1.7827412246118413,3.644202031810817,1.4769752514975836,2.508142285797774,1.992558768647679,0.0,0.0,0.009402306891130523,0.0,0.0,1822.4193228216625,0,1,0.0,0.0,0.0,1822.4193228216625,0,97.13147156951297,97.13147156951297,1770.363830864483,0
LULU,367.2200012207031,0,0.1797124600638977,0.8202875399361023,0.1795075456711675,0.3462823725981621,0.6013080411306114,2.0729609037914023,367,0,0,367,0,367,734,1,1,1.0,1,0.21393337287892658,0.6944014899684549,0.6013080411306114,1.7481810346754174,2.0729609037914023,3.934421710990378,1.4738468605791022,2.5887266153453394,2.031286737962221,0.01904176993306264,0.017478981565989527,0.01302291974462772,1946.6953613897995,1579.6953613897995,355.00305246863917,4,1,0.0,2463.8931742828945,2096.8931742828945,355.00305246863917,6,134.5345747138511,134.5345747138511,355.00305246863917,0
MTDR,55.43999862670898,0,0.1569488817891373,0.8430511182108626,0.1926131850675139,0.4590643274853801,0.5441370834891411,1.5086599710887696,0,0,0,0,0,0,0,0,0,1.0,1,0.21831522388898272,0.6762251439661335,0.5441370834891411,1.6910100770339471,1.5086599710887696,3.3701207782877454,1.4265210809666264,2.274087289407354,1.8503041851869901,0.0,0.0,0.00638614083733191,0.0,0.0,55.241615270411394,0,1,52.211308134985224,0.0,0.0,55.241615270411394,0,65.97266653414101,65.97266653414101,52.211308134985224,1
EW,73.69999694824219,1,0.4912140575079872,0.5087859424920127,0.7029388403494837,0.0989974937343358,0.731839654340514,1.7462725457364678,0,0,0,0,0,0,0,0,0,1.0,1,0.22124485993340223,0.6643705923538034,0.731839654340514,1.8787126478853202,1.7462725457364678,3.607733352935443,1.5203541678878787,2.345363538712533,1.932858853300206,0.0,0.0,0.008760953311719505,0.0,0.0,73.57893089742434,0,1,71.5798773947026,0.0,0.0,73.57893089742434,0,90.5059042820495,90.5059042820495,71.5798773947026,1
BBY,68.76000213623047,0,0.1769169329073482,0.8230830670926518,0.7136616362192216,0.1553884711779448,0.4160167111083994,0.1927982204340854,0,0,0,0,0,0,0,0,0,1.0,1,0.2224021482489481,0.6597511460364693,0.4160167111083994,1.5628897046532055,0.1927982204340854,2.0542590276330612,1.3425931843885666,1.6079577353921022,1.4752754598903344,0.0,0.0,0.0007029224830186355,0.0,0.0,68.77041639901185,0,1,0.0,0.0,0.0,68.77041639901185,0,7.261611003072315,7.261611003072315,66.42736431873209,0
SAIC,106.68000030517578,0,0.1589456869009584,0.8410543130990416,0.7037331215250199,0.231829573934837,0.5983955724010389,1.28770482178478,0,0,0,0,0,0,0,0,0,1.0,1,0.24946025059038232,0.5607753482080092,0.5983955724010389,1.7452685659458451,1.28770482178478,3.1491656289837557,1.3665653250025813,1.9027238263019015,1.6346445756522414,0.0,0.0,0.0043014893115961746,0.0,0.0,106.68000030517578,0,1,0.0,0.0,0.0,106.68000030517578,0,44.436965482375435,44.436965482375435,104.32557576286482,0
AMZN,127.95999908447266,0,0.204073482428115,0.795926517571885,0.2041302621127879,0.5338345864661654,0.8020065254177772,1.560996962523043,0,0,0,2815,128,2943,2943,0,1,1.0,1,0.2570194624772354,0.5358079837003877,0.8020065254177772,1.9488795189625834,1.560996962523043,3.4224577697220187,1.4297796518554653,1.933314992848011,1.681547322351738,0.0,0.017478981565989527,0.00617269736935085,0.0,0.0,127.38314220377303,0,1,122.75903263970146,2463.8931742828945,-479.1068257171055,131.1353705064308,-4,63.76766744381588,63.76766744381588,122.75903263970146,1
MA,397.9700012207031,0,0.1721246006389776,0.8278753993610224,0.5027799841143765,0.2627401837928154,0.810400724044629,2.254653833314869,0,0,0,2786,0,2786,2786,0,1,1.0,1,0.25851532987788456,0.53098746387567,0.810400724044629,1.9572737175894352,2.254653833314869,4.116114640513844,1.428444346436649,2.1197524166870734,1.7740983815618612,0.0,0.017478981565989527,0.01362514232022136,0.0,0.0,396.3439519526877,0,1,0.0,2463.8931742828945,-322.1068257171055,405.2291844873785,-1,140.75589525327877,140.75589525327877,387.5756282463977,0
EME,206.72000122070312,0,0.1493610223642172,0.8506389776357828,0.306989674344718,0.7063492063492064,0.7561950421137964,2.5247772808467563,0,0,0,0,0,0,0,0,0,1.0,1,0.2638903976759828,0.5139761866063566,0.7561950421137964,1.9030680356586025,2.5247772808467563,4.386238088045732,1.3919795759355973,2.138061047387767,1.765020311661682,0.0,0.0,0.01747962108989382,0.0,0.0,206.6187368550673,0,1,201.64946656221426,0.0,0.0,206.6187368550673,0,180.57497363125705,180.57497363125705,201.64946656221426,1
CTSH,67.83999633789062,0,0.1277955271565495,0.8722044728434505,0.5758538522637013,0.6083959899749374,0.3299487348145507,2.015118535951244,0,0,0,0,0,0,0,0,0,1.0,1,0.2677324071051947,0.5021025310835007,0.3299487348145507,1.4768217283593568,2.015118535951244,3.87657934315022,1.2162421613601702,1.9745201508085897,1.5953811560843798,0.0,0.0,0.009639903054883296,0.0,0.0,67.69726583725193,0,1,132.03674131914238,0.0,0.0,67.69726583725193,0,99.58598249877735,99.58598249877735,66.01837065957119,2
USNA,58.619998931884766,0,0.2515974440894569,0.7484025559105432,0.335583796664019,0.2422723475355054,0.2865485595305119,1.6088782418056335,0,0,0,0,0,0,0,0,0,1.0,1,0.27070752295583506,0.49306435236451135,0.2865485595305119,1.433421553075318,1.6088782418056335,3.4703390490046093,1.1942696911135353,1.8468776443510286,1.520573667732282,0.0,0.0,0.005900768721401697,0.0,0.0,58.56186756318604,0,1,57.06085746684608,0.0,0.0,58.56186756318604,0,60.95848135331236,60.95848135331236,57.06085746684608,1
SAM,360.6499938964844,0,0.2460063897763578,0.7539936102236422,0.1854646544876886,0.6203007518796992,0.3030618615490682,0.4485780627002432,0,0,361,0,0,361,361,0,1,1.0,1,0.2710291706983558,0.492095171791047,0.3030618615490682,1.4499348550938742,0.4485780627002432,2.310038869899219,1.2006013100777595,1.5098551887418723,1.3552282494098158,0.0,0.005530610708893157,0.0010325309909679473,0.0,0.0,359.71625242237764,0,1,0.0,779.6125834798478,418.6125834798478,346.7331555405076,1,10.666664655293475,10.666664655293475,346.7331555405076,0
MPWR,473.6799926757813,1,0.3686102236421725,0.6313897763578276,0.7795869737887212,0.1453634085213032,0.8920341654072521,1.250298475913079,0,0,0,0,0,0,0,0,0,1.0,1,0.2758637533094882,0.4777093826755199,0.8920341654072521,2.038907158952058,1.250298475913079,3.111759283112055,1.405406847505694,1.7199411569249006,1.5626740022152972,0.0,0.0,0.003920178673049872,0.0,0.0,469.3793222520566,0,1,0.0,0.0,0.0,469.3793222520566,0,40.497797799809,40.497797799809,449.5222557628118,0
MSCI,513.3400268554688,0,0.2292332268370607,0.7707667731629393,0.6302621127879269,0.2243107769423558,1.0396748660509578,1.7023221626109943,0,0,0,0,0,0,0,0,0,1.0,1,0.2882644277218308,0.44227190520027027,1.0396748660509578,2.186547859595764,1.7023221626109943,3.56378296980997,1.4134024988664067,1.754263547973009,1.5838330234197078,0.0,0.0,0.006835462197844461,0.0,0.0,509.63904517553476,0,1,0.0,0.0,0.0,509.63904517553476,0,70.61442578105198,70.61442578105198,492.700332501652,0
DIS,82.94000244140625,1,0.5399361022364217,0.4600638977635782,0.8621922160444797,0.1353383458646616,0.2628653764202716,0.3292641437644305,0,0,0,415,0,415,415,0,1,1.0,1,0.28843951520028666,0.44178569650604566,0.2628653764202716,1.4097383699650776,0.3292641437644305,2.190724950963406,1.1638238828905598,1.4140567608266348,1.2889403218585973,0.0,0.004336464649774825,0.0007943240787633524,0.0,0.0,82.48536229952855,0,1,0.0,611.2819337191386,196.28193371913858,80.29917836630239,2,8.205844328072686,8.205844328072686,80.29917836630239,0
PRI,194.75,0,0.2032747603833865,0.7967252396166135,0.6211278792692613,0.2957393483709273,0.7018260693948727,2.366647316031511,0,0,0,0,0,0,0,0,0,1.0,1,0.30270068771021136,0.40338476251742456,0.7018260693948727,1.8486990629396787,2.366647316031511,4.228108123230487,1.28129687584321,1.7888659174512995,1.5350813966472547,0.0,0.0,0.013125904708374275,0.0,0.0,193.80841401555315,0,1,188.95309212624525,0.0,0.0,193.80841401555315,0,135.59847118033127,135.59847118033127,188.95309212624525,1
ZM,65.4800033569336,0,0.210431654676259,0.789568345323741,0.2975133214920071,0.624750499001996,0.3288380278951924,0.9438546078312232,65,0,0,0,0,0,65,1,1,1.0,1,0.3088335741449069,0.38754995589429414,0.3288380278951924,1.4757110214399984,0.9438546078312232,2.805315415030199,1.1627770581071155,1.4914726276633044,1.32712484288521,0.01904176993306264,0.011649851081439974,0.002199135913236151,1946.6953613897995,1881.6953613897995,62.26687339613636,30,1,0.0,1642.2002879632391,1642.2002879632391,62.26687339613636,26,22.718393465277376,22.718393465277376,62.26687339613636,0
MPC,143.17999267578125,0,0.1505591054313099,0.8494408945686901,0.7096902303415409,0.6198830409356725,0.6424578961154864,1.8585626574637528,0,0,0,0,0,0,0,0,0,1.0,1,0.3104245906168079,0.383503756574464,0.6424578961154864,1.7893308896602926,1.8585626574637528,3.720023464662728,1.2499936796965914,1.6550320611029843,1.4525128703997878,0.0,0.0,0.007442454800034815,0.0,0.0,142.27673097499604,0,1,135.9243823399911,0.0,0.0,142.27673097499604,0,76.88502355723965,76.88502355723965,135.9243823399911,1
VRTS,192.8699951171875,0,0.1769169329073482,0.8230830670926518,0.5607625099285147,0.4553049289891395,0.2851602894144482,0.9446281518814056,0,0,0,0,0,0,0,0,0,1.0,1,0.3114622274099933,0.3808781731198727,0.2851602894144482,1.4320332829592544,0.9446281518814056,2.8060889590803813,1.146566203739842,1.4813990299434554,1.3139826168416486,0.0,0.0,0.002179760905419413,0.0,0.0,191.44419807040404,0,1,0.0,0.0,0.0,191.44419807040404,0,22.51823800952578,22.51823800952578,183.97330455004862,0
