stock,fair_value_mult,dev_quantile,drop,climb,geomean,score,sharpe,direction,RSI,RSIRev
OKTA,0.9462954583392528,0.1011904761904761,0.8317504512398414,1.1263287536208124,0.9678969206834572,0.5472756846262792,,,,
PANW,1.0219135215117126,0.5119047619047619,0.976614265516431,1.478942796031245,1.2018138926168522,0.9323295273961234,,,,
PINS,0.943520301498824,0.2103174603174603,0.5925796554278774,1.0115148271461951,0.7742112810664032,0.5872680745489061,,,,
PTON,0.8875802673553826,0.0416666666666666,0.685865145821103,1.0536189803668223,0.850082663985787,0.4043241469730703,,,,
QDEL,0.9818097968502396,0.3055555555555556,0.8972157851835729,1.3562985904717388,1.1031285078328248,0.777306752522941,,,,
RDFN,0.9792382298465406,0.2559523809523809,0.697286006097357,1.1015830909935316,0.8764236840154772,0.6623978834747518,,,,
RGEN,0.96609129301207,0.1111111111111111,0.8913667001358188,1.7422680336501064,1.2461940891798584,0.6389792542678996,,,,
ROKU,0.9544891037565532,0.2341269841269841,0.6534932348352777,1.102646260044824,0.8488650489658016,0.6334683741379198,,,,
SE,0.971184214800146,0.115079365079365,0.9019980309010356,1.575220009661738,1.1919921757087155,0.6312646504061143,,,,
SHOP,0.9403572492976274,0.1011904761904761,0.8250249942858,1.2939671912958743,1.0332256648984728,0.5645543028569319,,,,
SPLK,0.9790094710085824,0.2539682539682539,0.9133426185560894,1.2922843577045402,1.0864153805911156,0.7360198621034578,,,,
TDOC,0.9328379687086384,0.1091269841269841,0.6591641248571521,1.0070679749252722,0.8147533862238816,0.509856169656791,,,,
TEAM,1.00339512803914,0.3551587301587302,0.9455960069554776,1.843711765431807,1.3203811886607408,0.8878166486473779,,,,
TREX,0.949985519643206,0.0615079365079365,0.8923224836707385,1.0854008766938457,0.9841380015373096,0.4877418674154687,,,,
TSLA,1.0251931969299295,0.4027777777777778,0.9799332728761136,1.376282167728277,1.1613202353455323,0.8638608672498911,,,,
TTD,0.958906109313908,0.1587301587301587,0.8031532506817034,1.435866102253523,1.0738810583898872,0.6472722304228173,,,,
TTWO,1.015293477038566,0.6051587301587301,0.8250067326598058,1.060722941991179,0.9354697048164838,0.8563081716018377,,,,
TWLO,0.9428239982012692,0.1448412698412698,0.7784745038157025,1.1353284473206875,0.9401192741859004,0.5894164010281684,,,,
TWTR,0.9540758768381304,0.1805555555555555,0.8335403993569616,1.2051486460603489,1.0022674711481183,0.6449711079678475,,,,
UPST,1.079206021687786,0.4723618090452261,0.9408336977072076,3.7649017364882567,1.8820590910607808,1.1592081122493527,,,,
VEEV,0.9576201336900466,0.0992063492063492,0.8450733531605114,1.1730440817875056,0.9956446633218402,0.5539688811596624,,,,
ZEN,0.9631902928344704,0.1686507936507936,0.749211424633568,1.009453567294368,0.869651737912396,0.5920355780260551,,,,
ZG,0.950131713745748,0.1567460317460317,0.5934611087433601,1.0195672724606335,0.7778647208563525,0.547894738412349,,,,
ZNGA,0.9454738466378028,0.0992063492063492,0.6747312108211615,1.008032184913242,0.8247125418430429,0.5025722981691932,,,,
^GSPC,0.9732992029851693,0.0575396825396825,0.9494351609839088,1.060176615945044,1.0032791017613985,0.4872640159876114,,,,
^IXIC,0.9710230970777178,0.0773809523809523,0.939786057751246,1.10872745502996,1.020767654308843,0.5289679482620788,,,,
^NYA,0.9773660711267516,0.0734126984126984,0.953812856683122,1.019324270783456,0.986024641985386,0.5139264807574616,,,,
AAPL,0.9779696247447456,0.1408730158730158,0.9103962708139464,1.1619287920257568,1.028501647646518,0.6178610106367022,,,,
ABMD,0.9361331930274074,0.0773809523809523,0.8594629879871719,1.2307487232648826,1.0284857680875477,0.5261287957666891,,,,
ABNB,1.044311623756489,0.7450980392156863,0.9602064687512384,1.3118743410767326,1.1223503145144331,0.9950046249432002,,,,
AMZN,0.972274455877964,0.1130952380952381,0.8798979707671919,1.0416632520925466,0.9573700338630752,0.5634406983224938,,,,
ANET,0.9852851931105524,0.2301587301587301,0.9171988261929184,1.1470838554185578,1.0257211929831365,0.6988951338633206,,,,
APPH,0.8814486542186817,0.1575757575757575,0.3203786709571716,1.0031201219036827,0.5669023650205544,0.4596483866488185,,,,
ATVI,1.014507681652132,0.5714285714285714,0.7917926853968635,1.0785606566749293,0.9241192773187056,0.838819151840448,,,,
AXON,1.0062669887665558,0.4166666666666667,0.923923712838888,1.4483513232638676,1.156791308786969,0.865471965059124,,,,
AYX,1.019119754456555,0.6190476190476191,0.8278715312751405,1.080426132462811,0.9457558018387544,0.8667160250625305,,,,
BILI,0.8909737807741172,0.0496031746031746,0.511470224941739,1.008549594383779,0.7182221716881003,0.3885733423046754,,,,
BROS,0.98456982071346,0.2307692307692307,0.8391328454264357,1.2557252178319,1.0265087798518886,0.6994995503149389,,,,
BYND,0.9455433823870524,0.3194444444444444,0.6672804157242354,1.0351654827903114,0.8311110958829137,0.6758475441095478,,,,
COUR,0.901506832301558,0.0852713178294573,0.5508620821196457,1.0333117944406216,0.7544615872026542,0.457363566468543,,,,
CPNG,0.9261541678572348,0.2377622377622377,0.5779193247386284,1.0,0.7602100530370723,0.5972736364283245,,,,
