stock,yestDir,direction,RSI,RSIRev,fair_value_mult,drop,climb,geomean,score,sharpe,wSharpe,status,statusScaled,nUpDown,buy_pt_up_p30,buy_pt_up_p40,buy_pt_up_p50,buy_pt_up_p61,buy_pt_up_p73,buy_pt_up_p84,buy_pt_up_p95,sell_pt_up_p30,sell_pt_up_p40,sell_pt_up_p50,sell_pt_up_p61,sell_pt_up_p73,sell_pt_up_p84,sell_pt_up_p95,buy_pt_down_p30,buy_pt_down_p40,buy_pt_down_p50,buy_pt_down_p61,buy_pt_down_p73,buy_pt_down_p84,buy_pt_down_p95,sell_pt_down_p30,sell_pt_down_p40,sell_pt_down_p50,sell_pt_down_p61,sell_pt_down_p73,sell_pt_down_p84,sell_pt_down_p95,price,LoHiAdj,statusAdj,statusAdj2,statusAdj3,sharpeMin,sharpeMax,adjSharpe,sharpeFinal,ssMin,ssMax,adjSS,ssFinal,inEt,inFid,in_self_managed,currentlyActive,portionET,portionFid,portion_self_managed,cappedET,cappeDFid,cappedSlf,portionNormET,portionNormFid,portionNormSelfManaged,upDownCopy,ET$,ETTarget,ETDiff,etUD,buyUpET,buyDownET,sellUpET,sellDownET,bsET,nSharesET,PctTargET,fidRoll,fidRoth,fidSI,fid (ALL),FidTarget,FidDiff,FidUD,buyUpFid,buyDownFid,sellUpFid,sellDownFId,bsFid,nSharesFid,pctTargFid,TotalIn,TotalTarget,TD,TDTarget,TDDiff,tdUD,buyUpTD,buyDownTD,sellUpTD,sellDownTD,bsTD,nShrs,DMIRA,DMTarget,DMDiff,DMAmtIO,DMfBS,DMdiAmt,DMBSPt,DMNShares,statCopy,Owned,rsiWt,rsiWtRenorm,rsiDollarsTarget,rsiDollarsIn,ddiff,Adel,AdelRaw,AdelNorm,AdelCap,AdelRenrom,AdelIn,AdelDiff,pricecopy
MNMD,1,1,0.741522713,0.258477287,0.65060241,0.102546456,0.591878871,0.246363716,0.445776623,0.509399938,1.174554825,0.431987046,0.124150996,0,3.63,3.66,3.68,3.7,3.7,3.74,3.79,3.97,3.95,3.91,3.86,3.84,3.81,3.76,3.61,3.63,3.65,3.67,3.72,3.74,3.76,3.97,3.94,3.87,3.82,3.79,3.77,3.72,3.76,0.861,1.052,1.114,1.177,0.006,1.09,0.509,1.504,-1.536,1.669,1.175,3.711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,3.63,3.97,3.97,3.97,0,#DIV/0!,0,11,0,11,0,-11,0,3.68,3.65,3.95,3.94,3.95,-3,#DIV/0!,11,0,0,0,0,0,3.7,3.67,3.91,3.87,3.91,0,0,0,0,0,0,0,3.91,0,0,11,0.002489862,0.002489862,266,0,266,0,0,0,0,0,0,0,3.76
MNST,0,0,0.329604475,0.670395525,0.314263012,0.714166318,0.460091935,0.573220868,0.566871096,0.756253667,0.480035764,0.376860007,0.23231762,0,100.7,100.94,101.06,101.59,101.76,102.25,102.52,103.21,103.05,102.96,102.67,102.49,102.13,101.79,101.27,101.49,101.81,101.87,101.98,102.1,102.58,103.68,103.48,103.4,103.18,102.97,102.8,102.04,102.33,1.077,1.139,1.216,1.292,0.006,1.09,0.756,1.751,-1.536,1.669,0.48,3.016,1,1,1,1,12.1,94.3,100.7,12.1,94.3,100.7,0.012667877,0.012452388,0.004685425,0,1330,1242,-88,0,100.94,101.49,103.21,103.68,103.68,-1,1.07,0,0,0,0,1695,1695,1,101.06,101.81,103.05,103.48,101.81,17,0,1330,2970,0,33,33,1,101.59,101.87,102.96,103.4,101.87,0,0,20,20,20,0.005,20,101.87,0,0,1330,0.00645779,0.00645779,689,409,280,0,1.29,0.002,0.002,0.003,299,299,102.33
MOBQ,0,0,0.023971235,0.976028765,0.043305522,0.02966987,0.065399081,0.04404977,0.095743135,0.325802824,-0.268257164,0.034281795,3.42059261,0,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.23,0.24,0.24,0.25,0.26,0.26,0.27,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.27,1.238,2.586,9.527,16.468,0.006,1.09,0.326,1.32,-1.536,1.669,-0.268,2.268,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.26,0.26,0.29,0.29,0.29,0,#DIV/0!,0,968,0,968,0,-968,0,0.26,0.26,0.29,0.29,0.29,-3338,#DIV/0!,1024,0,56,0,-56,0,0.27,0.27,0.28,0.28,0.28,-200,0,0,0,0,0,0,0.28,0,0,1080,0.009401896,0.009401896,1003,0,1003,0,0,0,0,0,0,0,0.27
MRCY,0,1,0.654814223,0.345185777,0.394119984,0.705808608,0.643125784,0.67373861,0.650358517,0.701828081,1.493085333,0.54066677,-0.073565535,0,52.42,52.68,52.81,52.9,53.03,53.24,53.49,54.57,54.43,54.31,54.15,54.01,53.77,53.55,52.26,52.55,52.91,53.05,53.17,53.3,53.64,55.12,55.03,54.9,54.56,53.86,53.5,53.33,53.63,0.906,0.962,0.932,0.903,0.006,1.09,0.702,1.696,-1.536,1.669,1.493,4.03,0,0.18,1,1,0,45.6,245.8,0,45.6,245.8,0,0.006027845,0.011441083,0,0,0,0,0,52.42,52.26,54.43,55.03,54.43,0,#DIV/0!,0,0,0,0,821,821,1,52.68,52.55,54.31,54.9,52.68,16,0,0,901,0,80,80,1,52.81,52.91,54.15,54.56,52.81,2,0,50,50,50,0.011,50,52.81,1,0,0,0.003325108,0.003325108,355,0,355,0,0.16,0,0,0,38,38,53.63
MSFT,0,0,0.216540152,0.783459848,0.618593564,0.20058504,0.41872127,0.289808942,0.47742729,1.020302273,-0.482580377,0.309750939,0.385213928,0,245.97,247.35,248.03,249.17,250.18,251.82,255.07,256.94,253.63,253.18,252.72,251.51,250.05,248.96,247.1,248.21,248.54,249.17,250.04,252.4,253.75,256,255.43,253.63,252.51,252.1,250.83,249.28,251.51,1.137,1.31,1.315,1.319,0.006,1.09,1.02,2.015,-1.536,1.669,-0.483,2.054,0,1,1,1,0,23.3,23.4,0,23.3,23.4,0,0.003077677,0.001088975,0,0,0,0,0,247.35,248.21,256.94,256,256,0,#DIV/0!,0,503,0,503,419,-84,0,248.03,248.54,253.63,255.43,255.43,0,1.2,503,427,0,8,8,1,249.17,249.17,253.18,253.63,249.17,0,0,5,5,5,0.001,5,249.17,0,0,503,0.007546917,0.007546917,805,755,50,0,1.32,0.002,0.002,0.003,306,306,251.51
MTA,0,0,0.13903316,0.86096684,0.206595153,0.490597576,0.386961972,0.435709313,0.445018898,0.712163938,-0.680089259,0.20937992,0.713885171,0,4.25,4.3,4.31,4.32,4.33,4.38,4.43,4.53,4.5,4.49,4.47,4.45,4.43,4.39,4.3,4.33,4.33,4.35,4.36,4.39,4.42,4.55,4.53,4.5,4.48,4.46,4.43,4.4,4.41,1.177,1.465,1.51,1.555,0.006,1.09,0.712,1.707,-1.536,1.669,-0.68,1.856,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.3,4.33,4.53,4.55,4.55,0,#DIV/0!,0,1685,0,1685,0,-1685,0,4.31,4.33,4.5,4.53,4.53,-372,#DIV/0!,1689,0,4,0,-4,0,4.32,4.35,4.49,4.5,4.5,-1,0,0,0,0,0,0,4.5,0,0,1693,0.008293527,0.008293527,885,979,-94,0,0,0,0,0,0,0,4.41
MTCH,0,0,0.207750699,0.792249301,0.243146603,0.174676139,0.266193063,0.215632967,0.326080352,0.540852993,0.055190024,0.221178319,0.664637278,0,42.38,42.62,42.83,42.98,43.44,43.79,44.08,44.99,44.69,44.53,44.19,44.11,43.61,42.76,42.57,42.74,42.83,43.01,43.29,43.75,44.37,44.94,44.71,44.48,44.32,44.08,43.74,43.3,43.84,1.141,1.33,1.606,1.883,0.006,1.09,0.541,1.535,-1.536,1.669,0.055,2.592,1,1,1,1,10.5,60,72.5,10.5,60,72.5,0.01091684,0.007921048,0.003373462,1,2324,1071,-1253,0,42.62,42.74,44.99,44.94,44.94,-28,2.17,964,175,0,1139,1078,-61,0,42.83,42.83,44.69,44.71,44.71,-1,1.06,3507,2173,44,24,-20,0,42.98,43.01,44.53,44.48,44.48,0,0,15,15,15,0.003,15,44.48,0,0,3551,0.007631584,0.007631584,814,1096,-282,1140,1.88,0.003,0.003,0.004,436,-704,43.84
NEO,0,1,0.715940871,0.284059129,0.754072308,0.722941914,0.992478061,0.847056072,0.857648492,0.54541674,0.370079421,0.768549804,-0.624807266,-1,12.89,12.93,13.07,13.19,13.27,13.31,13.39,13.97,13.88,13.81,13.68,13.46,13.29,13.19,12.72,12.78,12.82,13,13.13,13.32,13.47,13.89,13.7,13.57,13.44,13.42,13.21,13.17,13.35,0.874,0.764,0.639,0.513,0.006,1.09,0.545,1.54,-1.536,1.669,0.37,2.907,0,0.18,1,1,0,9.8,45.6,0,9.8,45.6,0,0.001295379,0.002121316,-1,0,0,0,0,12.89,12.72,13.88,13.7,13.88,0,#DIV/0!,0,0,0,0,176,176,1,12.93,12.78,13.81,13.57,12.93,14,0,0,191,0,15,15,1,13.07,12.82,13.68,13.44,13.07,1,0,9,9,9,0.002,9,13.07,1,-1,0,0.002736287,0.002736287,292,0,292,0,0.09,0,0,0,21,21,13.35
NET,1,1,0.593200469,0.406799531,0.465974625,0.511440108,0.477792732,0.49433022,0.580897019,0.845245409,-0.143463173,0.512404493,-0.022338401,0,58.1,58.81,59.86,60.6,60.81,61.15,61.8,65.1,64.59,63.9,63.18,61.7,61.31,60.75,58.85,59.46,59.65,60.07,60.27,61.12,61.79,63.68,63.61,62.93,62.67,62.21,61.44,61.12,61.47,0.939,0.986,0.984,0.981,0.006,1.09,0.845,1.84,-1.536,1.669,-0.143,2.393,0,1,1,1,0,32.3,32.3,0,32.3,32.3,0,0.004271664,0.001501424,0,0,0,0,0,58.1,58.85,64.59,63.61,64.59,0,#DIV/0!,615,0,0,615,582,-33,0,58.81,59.46,63.9,62.93,63.9,-1,1.06,615,592,0,10,10,1,59.86,59.65,63.18,62.67,59.86,0,0,7,7,7,0.002,7,59.86,0,0,615,0.003918621,0.003918621,418,123,295,0,0.98,0.001,0.001,0.002,227,227,61.47
NOW,0,0,0.283659608,0.716340392,0.205800556,0.348098621,0.512745508,0.42247604,0.437786815,0.843709543,0.570118756,0.279032815,0.468458815,0,428.99,433.76,434.65,435.25,436.97,438.31,441.07,452.58,448.75,445.67,444.04,438.17,435.61,434.18,430.53,431.15,432.15,435.08,436.25,442.11,446.26,451.5,448.12,446.5,444.81,442.28,439.79,438.22,439.84,1.101,1.33,1.515,1.701,0.006,1.09,0.844,1.838,-1.536,1.669,0.57,3.107,0,1,1,1,0,123.9,141.1,0,123.9,141.1,0,0.01635749,0.00656984,0,0,0,0,0,433.76,431.15,452.58,451.5,451.5,0,#DIV/0!,0,0,0,0,2227,2227,1,434.65,432.15,448.75,448.12,432.15,5,0,0,2273,0,46,46,1,435.25,435.08,445.67,446.5,435.08,0,0,29,29,29,0.007,29,435.08,0,0,0,0.006900368,0.006900368,736,880,-144,0,1.7,0.002,0.002,0.004,394,394,439.84
