stock,yestDir,direction,RSI,RSIRev,fair_value_mult,drop,climb,geomean,score,sharpe,wSharpe,status,statusScaled,nUpDown,buy_pt_up_p30,buy_pt_up_p40,buy_pt_up_p50,buy_pt_up_p61,buy_pt_up_p73,buy_pt_up_p84,buy_pt_up_p95,sell_pt_up_p30,sell_pt_up_p40,sell_pt_up_p50,sell_pt_up_p61,sell_pt_up_p73,sell_pt_up_p84,sell_pt_up_p95,buy_pt_down_p30,buy_pt_down_p40,buy_pt_down_p50,buy_pt_down_p61,buy_pt_down_p73,buy_pt_down_p84,buy_pt_down_p95,sell_pt_down_p30,sell_pt_down_p40,sell_pt_down_p50,sell_pt_down_p61,sell_pt_down_p73,sell_pt_down_p84,sell_pt_down_p95,price,LoHiAdj,statusAdj,statusAdj2,statusAdj3,sharpeMin,sharpeMax,adjSharpe,sharpeFinal,ssMin,ssMax,adjSS,ssFinal,inEt,inFid,in_self_managed,currentlyActive,portionET,portionFid,portion_self_managed,cappedET,cappeDFid,cappedSlf,portionNormET,portionNormFid,portionNormSelfManaged,upDownCopy,ET$,ETTarget,ETDiff,etUD,buyUpET,buyDownET,sellUpET,sellDownET,bsET,nSharesET,PctTargET,fidRoll,fidRoth,fidSI,fid (ALL),FidTarget,FidDiff,FidUD,buyUpFid,buyDownFid,sellUpFid,sellDownFId,bsFid,nSharesFid,pctTargFid,TotalIn,TotalTarget,TD,TDTarget,TDDiff,tdUD,buyUpTD,buyDownTD,sellUpTD,sellDownTD,bsTD,nShrs,DMIRA,DMTarget,DMDiff,DMAmtIO,DMfBS,DMdiAmt,DMBSPt,DMNShares,statCopy,Owned,rsiWt,rsiWtRenorm,rsiDollarsTarget,rsiDollarsIn,ddiff,Adel,AdelRaw,AdelNorm,AdelCap,AdelRenrom,AdelIn,AdelDiff,pricecopy
NVCR,0,0,0.21548457,0.78451543,0.141397849,0.297063903,0.358088659,0.326152134,0.350203767,0.586879783,0.019611207,0.202990721,0.742318358,0,78.44,79.52,79.88,80.21,80.61,81.05,82.18,84.46,83.5,83.07,82.73,82.31,81.69,79.86,79.86,80.83,81.03,81.23,81.39,82.15,85.25,84.47,84.17,84.03,83.22,82.89,82.57,81.76,82.01,1.137,1.405,1.706,2.007,0.006,1.09,0.587,1.581,-1.536,1.669,0.02,2.556,1,1,1,1,12.5,60,72.8,12.5,60,72.8,0.013094345,0.007920524,0.003390088,1,1476,1284,-192,0,79.52,80.83,84.46,84.47,84.47,-2,1.15,656,820,0,1476,1078,-398,0,79.88,81.03,83.5,84.17,84.17,-5,1.37,2952,2386,0,24,24,1,80.21,81.23,83.07,84.03,81.23,0,0,15,15,15,0.003,15,81.23,0,0,2952,0.007557085,0.007557085,806,820,-14,820,2.01,0.003,0.003,0.004,465,-355,82.01
NVDA,0,0,0.407510987,0.592489013,0.442193087,0.335979941,0.857501045,0.536752411,0.597434075,1.184252166,0.241486337,0.456035622,0.079597973,0,200.11,202.58,203.38,204.48,205.23,207.03,208.29,215.17,213.12,211.98,209.46,208.58,205.66,205.09,201.95,202.36,203.45,204.13,205.43,206.96,210.42,214.78,212.42,209.87,208.76,208.05,207.55,204.84,207.54,1.036,1.06,1.072,1.085,0.006,1.09,1.09,2.084,-1.536,1.669,0.241,2.778,0,1,1,1,0,63.1,63.9,0,63.1,63.9,0,0.008337308,0.002973038,0,0,0,0,0,202.58,202.36,215.17,214.78,214.78,0,#DIV/0!,0,0,0,0,1135,1135,1,203.38,203.45,213.12,212.42,203.45,6,0,0,1156,0,21,21,1,204.48,204.13,211.98,209.87,204.13,0,0,13,13,13,0.003,13,204.13,0,0,0,0.005707332,0.005707332,609,415,194,0,1.08,0.001,0.001,0.002,251,251,207.54
ODFL,0,0,0.358369956,0.641630044,0.269765594,0.352277476,0.867112411,0.552688132,0.535780261,1.084079588,-0.55872416,0.361155419,0.265452859,0,334.36,335.68,336.52,338.08,340.03,342.05,344.24,349.02,346.44,345.62,344,342.92,341.56,338.88,335.42,336.77,339.34,340.18,340.58,340.77,344.45,349.46,347.33,345.5,344.97,343.46,341.22,339.21,342.01,1.062,1.214,1.206,1.198,0.006,1.09,1.084,2.078,-1.536,1.669,-0.559,1.978,1,1,1,1,22.4,18.6,18.5,22.4,18.6,18.5,0.023340703,0.002453336,0.000859178,0,0,2289,2289,1,335.68,336.77,349.02,349.46,336.77,7,0,0,0,0,0,334,334,1,336.52,339.34,346.44,347.33,339.34,1,0,0,2629,0,6,6,1,338.08,340.18,345.62,345.5,340.18,0,0,4,4,4,0.001,4,340.18,0,0,0,0.006180698,0.006180698,659,0,659,0,1.2,0.002,0.002,0.003,277,277,342.01
OKTA,0,0,0.353583618,0.646416382,0.287356322,0.223616236,0.703321033,0.396577864,0.461072716,0.627232804,1.008429848,0.339760152,0.312915452,0,69.8,70.04,70.51,70.91,71.58,72.17,72.98,74.89,74.45,74.01,73.48,72.97,72.36,71.77,69.97,70.29,71.21,71.51,71.72,72.17,72.8,74.85,74.37,74.3,74.06,73.3,72.31,72.1,72.56,1.065,1.163,1.325,1.486,0.006,1.09,0.627,1.622,-1.536,1.669,1.008,3.545,1,1,1,1,10.3,183.7,209.2,10.3,183.7,209.2,0.010722396,0.024257758,0.009736799,0,1669,1052,-617,0,70.04,70.29,74.89,74.85,74.85,-8,1.59,871,4426,0,5297,3303,-1994,0,70.51,71.21,74.45,74.37,74.37,-27,1.6,6966,4422,0,68,68,1,70.91,71.51,74.01,74.3,71.51,1,0,43,43,43,0.01,43,71.51,1,0,6966,0.006226804,0.006226804,664,871,-207,0,1.49,0.002,0.002,0.003,344,344,72.56
OMQS,0,0,0.322413104,0.677586896,0.091775924,0.57751776,0.409527789,0.486322498,0.383834822,0.804136284,-0.758847418,0.186869741,0.820490727,0,4.63,4.74,4.79,4.87,4.91,4.92,5,5.15,5.06,5,4.92,4.92,4.88,4.77,4.77,4.81,4.86,4.87,4.92,4.97,5.01,5.18,5.13,5.1,4.99,4.94,4.92,4.86,4.92,1.081,1.619,1.611,1.603,0.006,1.09,0.804,1.798,-1.536,1.669,-0.759,1.778,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.74,4.81,5.15,5.18,5.18,0,#DIV/0!,0,30,0,30,0,-30,0,4.79,4.86,5.06,5.13,5.13,-6,#DIV/0!,30,0,0,0,0,0,4.87,4.87,5,5.1,5.1,0,0,0,0,0,0,0,5.1,0,0,30,0.006527063,0.006527063,696,276,420,0,0,0,0,0,0,0,4.92
OPEN,0,0,0.515885023,0.484114977,0.251851852,0.31215971,0.862068966,0.518751576,0.510230014,-0.176425808,-0.428932625,0.382813724,0.220077623,0,1.71,1.73,1.75,1.77,1.79,1.85,1.92,2.03,2.01,1.98,1.95,1.9,1.88,1.84,1.69,1.71,1.74,1.76,1.8,1.82,1.84,1.99,1.97,1.94,1.9,1.88,1.86,1.81,1.85,0.979,1,1.089,1.178,0.006,1.09,0.006,1,-1.536,1.669,-0.429,2.108,1,1,1,1,1.2,19.7,21.5,1.2,19.7,21.5,0.00122971,0.002605155,0.001000231,0,131,121,-10,0,1.73,1.71,2.03,1.99,1.99,-5,1.09,126,0,2,128,355,227,1,1.75,1.74,2.01,1.97,1.74,130,0.36,263,482,4,7,3,1,1.77,1.76,1.98,1.94,1.76,2,0,4,4,4,0.001,4,1.76,2,0,267,0.004663386,0.004663386,497,0,497,0,1.18,0.002,0.002,0.003,273,273,1.85
PAC,0,0,0.7223332,0.2776668,0.932856575,0.753865441,0.906393648,0.826618925,0.893524348,0.616335639,1.353763994,0.818302461,-0.847791938,0,186.85,187.42,187.83,188.23,188.54,189.05,189.66,192.92,192.26,191.91,191.37,190.57,190.01,188.96,184.83,185.91,186.66,187.72,188.22,189,189.15,192.52,191.96,191.51,190.74,190.39,189.4,188.71,188.95,0.871,0.668,0.492,0.316,0.006,1.09,0.616,1.611,-1.536,1.669,1.354,3.89,1,1,1,1,2.1,152.9,112.6,2.1,152.9,112.6,0.002220372,0.02019022,0.005243777,-1,0,218,218,1,186.85,184.83,192.26,191.96,184.83,1,0,0,0,0,0,2749,2749,1,187.42,185.91,191.91,191.51,185.91,15,0,0,3003,0,37,37,1,187.83,186.66,191.37,190.74,186.66,0,0,23,23,23,0.005,23,186.66,0,0,0,0.002674711,0.002674711,285,0,285,0,0.32,0,0,0.001,73,73,188.95
PACB,0,0,0.199360767,0.800639233,0.088597537,0.575010447,0.726702883,0.646422269,0.438645387,0.57091376,-0.737572345,0.168067189,0.925865194,0,8.85,8.91,8.93,8.99,9.04,9.09,9.23,9.71,9.62,9.5,9.43,9.38,9.3,9.16,8.85,8.91,8.99,9.04,9.09,9.2,9.29,9.8,9.65,9.55,9.5,9.43,9.32,9.23,9.32,1.146,1.514,1.618,1.722,0.006,1.09,0.571,1.565,-1.536,1.669,-0.738,1.799,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.91,8.91,9.71,9.8,9.8,0,#DIV/0!,0,9,0,9,0,-9,0,8.93,8.99,9.62,9.65,9.65,-1,#DIV/0!,9,0,0,0,0,0,8.99,9.04,9.5,9.55,9.55,0,0,0,0,0,0,0,9.55,0,0,9,0.007712403,0.007712403,823,783,40,0,0,0,0,0,0,0,9.32
PANW,1,1,0.952057531,0.047942469,0.986889154,0.76138738,0.651901379,0.704520747,0.83659254,0.786916667,0.542126813,0.861314985,-1.133464517,0,183.7,185.2,186.32,187.17,187.79,189.61,192.84,192.78,191.3,190.57,189.88,188.66,187.57,186.36,184.11,184.41,184.75,185.01,185.4,185.79,187.5,190.69,189.78,188.97,188.35,188.07,187.54,186.54,187.75,0.75,0.52,0.4,0.28,0.006,1.09,0.787,1.781,-1.536,1.669,0.542,3.079,1,1,1,1,2.8,46.7,35.9,2.8,46.7,35.9,0.002937279,0.006165322,0.001671175,-1,1314,288,-1026,0,183.7,184.11,190.57,188.97,190.57,-5,4.56,0,188,0,188,839,651,1,185.2,184.41,189.88,188.35,185.2,4,0.22,1502,1139,0,12,12,1,186.32,184.75,188.66,188.07,186.32,0,0,7,7,7,0.002,7,186.32,0,0,1502,0.000461821,0.000461821,49,376,-327,0,0.28,0,0,0.001,65,65,187.75
PAYC,0,0,0.135830325,0.864169675,0.119282511,0.197530864,0.038936372,0.087699118,0.174037087,0.953699684,-0.107632207,0.110504531,1.41004375,0,291.23,293.02,294.98,295.59,297.32,298.61,299.25,307.12,305.88,302.35,299.63,297.43,296.66,295.04,291.79,292.67,293.76,294.76,295.91,298.47,300.36,306.39,303.82,302.51,301.24,300.15,298.35,294.87,298.94,1.179,2.561,3.028,3.495,0.006,1.09,0.954,1.948,-1.536,1.669,-0.108,2.429,1,1,1,1,50.3,89.1,105.4,50.3,89.1,105.4,0.052526413,0.011767397,0.004904853,1,7772,5151,-2621,0,294.98,293.76,307.12,306.39,306.39,-9,1.51,0,3288,0,3288,1602,-1686,0,295.59,294.76,305.88,303.82,303.82,-6,2.05,11359,6788,299,34,-265,0,297.32,295.91,302.35,302.51,302.51,-1,0,21,21,21,0.005,21,302.51,0,0,11658,0.008324379,0.008324379,888,897,-9,299,3.49,0.005,0.005,0.008,809,510,298.94
PCRX,1,1,0.753895326,0.246104674,0.762018276,0.278729628,0.419974927,0.342139526,0.54650353,0.39081871,-0.290350144,0.539419639,-0.071287985,0,41.29,41.44,41.55,41.66,41.82,42.13,42.33,43.36,43.24,42.93,42.81,42.76,42.54,42.36,41.18,41.33,41.39,41.55,41.61,41.69,42.1,43.23,43.09,42.88,42.77,42.55,42.29,42,42.3,0.854,0.977,0.96,0.944,0.006,1.09,0.391,1.385,-1.536,1.669,-0.29,2.246,0,0.17,0.8,1,0,4.2,19.6,0,4.2,19.6,0,0.000558247,0.000910395,0,0,0,0,0,41.29,41.18,43.24,43.09,43.24,0,#DIV/0!,0,0,0,0,76,76,1,41.44,41.33,42.93,42.88,41.44,2,0,42,82,42,6,-36,0,41.55,41.39,42.81,42.77,42.81,-1,0,4,4,4,0.001,4,42.81,0,0,84,0.002370679,0.002370679,253,0,253,0,0.16,0,0,0,37,37,42.3
PINS,0,0,0.436649215,0.563350785,0.385964912,0.655621302,0.41183432,0.519622317,0.568173343,0.360659954,0.950961744,0.440816579,0.107663877,0,24.19,24.28,24.51,24.66,24.76,24.81,25.26,25.8,25.62,25.48,25.43,25.27,25.01,24.88,24.46,24.57,24.7,24.81,24.86,24.95,25.23,25.91,25.73,25.58,25.51,25.34,25.12,25.09,25.14,1.021,1.033,1.089,1.144,0.006,1.09,0.361,1.355,-1.536,1.669,0.951,3.487,1,1,1,1,3.9,152.8,161,3.9,152.8,161,0.004024725,0.020182236,0.007495704,0,679,395,-284,0,24.28,24.57,25.8,25.91,25.91,-11,1.72,729,2841,0,3570,2748,-822,0,24.51,24.7,25.62,25.73,25.73,-32,1.3,4300,3195,51,52,1,1,24.66,24.81,25.48,25.58,24.81,0,0,33,33,33,0.007,33,24.81,1,0,4351,0.005426649,0.005426649,579,176,403,779,1.14,0.002,0.002,0.003,265,-514,25.14
POWW,0,1,0.265428003,0.734571997,0.349112426,0.096635648,0.467430208,0.212533341,0.354368297,0.429955845,-0.965349538,0.264619082,0.511706315,0,1.94,1.96,1.96,1.97,1.98,2,2.01,2.09,2.08,2.06,2.05,2.04,2.04,2.01,1.95,1.96,1.97,1.98,1.99,2,2.01,2.09,2.07,2.06,2.05,2.04,2.02,2.01,2.01,1.111,1.198,1.229,1.26,0.006,1.09,0.43,1.424,-1.536,1.669,-0.965,1.571,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.96,1.96,2.09,2.09,2.09,0,#DIV/0!,0,86,0,86,0,-86,0,1.96,1.97,2.08,2.07,2.08,-41,#DIV/0!,86,0,0,0,0,0,1.97,1.98,2.06,2.06,2.06,0,0,0,0,0,0,0,2.06,0,0,86,0.00707599,0.00707599,755,828,-73,0,0,0,0,0,0,0,2.01
PPC,0,1,0.441470236,0.558529764,0.676599126,0.364396155,0.340994567,0.352501219,0.538472055,0.541089885,0.394335121,0.455926495,0.079797867,0,24.16,24.22,24.26,24.39,24.5,24.59,24.66,25.03,24.9,24.85,24.78,24.72,24.66,24.53,24.18,24.28,24.32,24.37,24.45,24.52,24.66,25.12,25.03,24.94,24.83,24.73,24.61,24.49,24.62,1.018,1.035,1.062,1.09,0.006,1.09,0.541,1.535,-1.536,1.669,0.394,2.931,0,0.18,1,1,0,13.7,78.4,0,13.7,78.4,0,0.001814762,0.003648154,0,0,0,0,0,24.22,24.28,25.03,25.12,25.03,0,#DIV/0!,0,0,0,0,247,247,1,24.26,24.32,24.9,25.03,24.26,10,0,0,273,0,25,25,1,24.39,24.37,24.85,24.94,24.39,1,0,16,16,16,0.004,16,24.39,1,0,0,0.005380209,0.005380209,574,0,574,0,0.2,0,0,0,45,45,24.62
PRPH,1,0,0.032760687,0.967239313,0.801350814,0.056414542,0.014834935,0.028929329,0.160925494,0.635432795,0.378064935,0.045222077,2.864685591,0,7.16,7.2,7.22,7.26,7.31,7.34,7.42,7.59,7.58,7.58,7.55,7.52,7.5,7.46,7.23,7.27,7.32,7.33,7.35,7.42,7.47,7.73,7.7,7.64,7.61,7.56,7.52,7.47,7.45,1.233,4.052,12.736,21.421,0.006,1.09,0.635,1.63,-1.536,1.669,0.378,2.915,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7.26,7.33,7.59,7.73,7.73,0,#DIV/0!,0,1676,0,1676,0,-1676,0,7.31,7.35,7.58,7.7,7.7,-218,#DIV/0!,1780,0,104,0,-104,0,7.34,7.42,7.58,7.64,7.64,-14,0,0,0,0,0,0,7.64,0,0,1884,0.009317229,0.009317229,994,1155,-161,0,0,0,0,0,0,0,7.45
PTON,0,0,0.542654028,0.457345972,0.362470862,0.636239782,0.709809264,0.67201852,0.636075834,0.216566684,0.108112949,0.492635798,0.01325772,0,12.76,12.81,12.97,13.06,13.12,13.27,13.44,14.19,14.09,13.96,13.79,13.65,13.47,13.31,12.67,12.83,12.96,13.07,13.24,13.37,13.5,14.16,13.9,13.72,13.6,13.37,13.31,13.24,13.43,0.965,1.003,1.008,1.013,0.006,1.09,0.217,1.211,-1.536,1.669,0.108,2.645,0,0.18,1,1,0,8.8,49.3,0,8.8,49.3,0,0.001165574,0.002294573,0,0,0,0,0,12.81,12.83,14.19,14.16,14.16,0,#DIV/0!,0,67,0,67,159,92,1,12.97,12.96,14.09,13.9,12.96,7,0.42,67,175,0,16,16,1,13.06,13.07,13.96,13.72,13.07,1,0,10,10,10,0.002,10,13.07,1,0,67,0.004405525,0.004405525,470,0,470,0,0.18,0,0,0,42,42,13.43
PYPL,0,0,0.20167627,0.79832373,0.144565783,0.149527515,0.221789883,0.182109006,0.263137104,0.439037518,-0.110369505,0.172742159,0.898013651,0,73.52,73.92,74.1,74.39,74.95,75.43,76.81,77.2,76.79,76.5,76.25,75.71,75.41,74.96,73.62,74,74.21,74.5,74.68,74.89,75.44,76.91,76.66,76.32,76.23,75.87,75.65,74.76,75.48,1.144,1.382,1.799,2.216,0.006,1.09,0.439,1.433,-1.536,1.669,-0.11,2.426,1,1,1,1,9.4,47.9,62.3,9.4,47.9,62.3,0.009764759,0.006321048,0.002901323,1,1812,958,-854,0,73.92,74,77.2,76.91,76.91,-11,1.89,2793,0,0,2793,861,-1932,0,74.1,74.21,76.79,76.66,76.66,-25,3.25,4757,1839,152,20,-132,0,74.39,74.5,76.5,76.32,76.32,-2,0,13,13,13,0.003,13,76.32,0,0,4909,0.007690098,0.007690098,820,528,292,755,2.22,0.003,0.003,0.005,513,-242,75.48
QDEL,1,1,0.600479425,0.399520575,0.574890743,0.694943585,0.631633932,0.66253298,0.708761437,0.530284633,1.003945999,0.610481258,-0.206483298,0,87.77,87.92,88.24,88.74,88.97,89.77,90.15,92.42,91.93,91.67,90.71,90.57,90.05,89.55,88.15,88.44,88.66,89.12,89.31,89.64,90.57,92.41,91.69,91.4,91.15,90.99,90.3,89.53,89.82,0.935,0.917,0.843,0.77,0.006,1.09,0.53,1.525,-1.536,1.669,1.004,3.54,1,1,1,1,4.2,144,132.5,4.2,144,132.5,0.004343607,0.019016778,0.006168551,0,1347,426,-921,0,87.77,88.15,91.93,91.69,91.93,-10,3.16,0,0,0,0,2589,2589,1,87.92,88.44,91.67,91.4,87.92,29,0,1347,3058,0,43,43,1,88.24,88.66,90.71,91.15,88.24,0,0,27,27,27,0.006,27,88.24,0,0,1347,0.003848504,0.003848504,411,719,-308,449,0.77,0.001,0.001,0.002,178,-271,89.82
RBLX,1,1,0.605427975,0.394572025,0.373225152,0.799457995,0.620596206,0.704372485,0.655985013,0.102830976,0.426702149,0.521668787,-0.039058851,0,35.71,36.04,36.51,36.91,37.07,37.38,38.34,39.3,39,38.45,38.3,37.88,37.24,36.53,36.28,36.45,36.67,36.73,36.93,37.47,37.59,39.05,38.97,38.41,38.04,37.97,37.55,37.5,37.55,0.932,0.996,0.977,0.958,0.006,1.09,0.103,1.097,-1.536,1.669,0.427,2.963,1,1,1,1,1.4,76.8,75.4,1.4,76.8,75.4,0.001449598,0.010143612,0.003507744,0,113,142,29,1,35.71,36.28,39,38.97,35.71,1,0.79,0,75,75,150,1381,1231,1,36.04,36.45,38.45,38.41,36.04,34,0.11,263,1548,0,24,24,1,36.51,36.67,38.3,38.04,36.51,1,0,15,15,15,0.004,15,36.51,0,0,263,0.003800836,0.003800836,405,0,405,0,0.96,0.001,0.001,0.002,222,222,37.55
RDFN,0,0,0.729106628,0.270893372,0.629101284,0.751173709,0.910798122,0.827144246,0.809973424,0.144472945,0.914978182,0.719408997,-0.46396071,0,8.16,8.29,8.35,8.42,8.49,8.51,8.71,9.22,9.14,9.07,9.01,8.89,8.71,8.49,8.26,8.28,8.3,8.35,8.39,8.4,8.59,9.14,9.12,8.94,8.81,8.68,8.64,8.55,8.61,0.867,0.941,0.752,0.563,0.006,1.09,0.144,1.139,-1.536,1.669,0.915,3.451,1,1,1,1,0.9,133.6,106.7,0.9,133.6,106.7,0.000988041,0.017642135,0.004968603,0,34,97,63,1,8.16,8.26,9.14,9.12,8.26,8,0.35,112,456,0,568,2402,1834,1,8.29,8.28,9.07,8.94,8.28,221,0.24,619,2534,17,35,18,1,8.35,8.3,9.01,8.81,8.3,2,0,22,22,22,0.005,22,8.3,3,0,636,0.002609463,0.002609463,278,0,278,0,0.56,0.001,0.001,0.001,130,130,8.61
RGEN,0,0,0.105473432,0.894526568,0.068732618,0.126619306,0.107814459,0.116839171,0.175018903,0.944362653,0.178580455,0.092055695,1.65933291,0,163.14,164.76,165.26,166.56,168.02,168.65,170.32,174.77,172.9,172.12,171.24,170.35,168.79,167.19,164.97,165.9,167.47,168.58,170.09,170.47,172.4,177.36,175.68,174.38,172.79,171.64,169.91,169.5,169.98,1.195,3,4.123,5.245,0.006,1.09,0.944,1.939,-1.536,1.669,0.179,2.715,1,1,1,1,74.1,163,224,74.1,163,224,0.07733646,0.021524455,0.010427841,2,3570,7585,4015,1,165.26,167.47,174.77,177.36,167.47,24,0.47,0,0,170,170,2931,2761,1,166.56,168.58,172.9,175.68,168.58,16,0.06,3740,10588,0,73,73,1,168.02,170.09,172.12,174.38,170.09,0,0,46,46,46,0.01,46,170.09,0,0,3740,0.008616801,0.008616801,919,340,579,510,5.25,0.007,0.007,0.011,1214,704,169.98
RIVN,1,1,0.61038961,0.38961039,0.621118012,0.393939394,0.257575758,0.318542364,0.501045459,-0.956202742,-1.259737602,0.469660133,0.054763074,0,17.99,18.18,18.27,18.33,18.51,18.63,18.83,19.75,19.56,19.47,19.42,19.16,19,18.79,18.14,18.25,18.38,18.49,18.69,18.86,19.17,19.81,19.58,19.48,19.26,19.07,18.86,18.64,19.02,0.93,1,1.007,1.013,0.006,1.09,0.006,1,-1.536,1.669,-1.26,1.277,0,1,1,1,0,2.7,2.7,0,2.7,2.7,0,0.000350847,0.000124512,0,0,0,0,0,18.18,18.25,19.75,19.81,19.75,0,#DIV/0!,19,456,0,475,48,-427,0,18.27,18.38,19.56,19.58,19.56,-22,9.94,475,49,0,1,1,1,18.33,18.49,19.47,19.48,18.33,0,0,1,1,1,0,1,18.33,0,0,475,0.003753041,0.003753041,400,0,400,875,1.01,0.001,0.001,0.002,235,-640,19.02
RMD,0,0,0.196963644,0.803036356,0.630115217,0.351023819,0.081487672,0.169127508,0.366405612,0.747989421,-0.425427253,0.23853465,0.598798668,0,210.28,210.73,211.36,212.34,213.47,214.13,214.59,218.23,217.22,216.42,215.52,214.21,213.06,212.34,210.94,211.22,211.54,212.2,213.23,214.04,215.19,216.24,215.97,215.38,214.81,214.67,213.88,213.29,213.99,1.147,1.394,1.479,1.564,0.006,1.09,0.748,1.742,-1.536,1.669,-0.425,2.111,0,1,1,1,0,27.7,29.4,0,27.7,29.4,0,0.003656888,0.00136762,1,0,0,0,0,210.73,211.22,218.23,216.24,216.24,0,#DIV/0!,214,1712,0,1926,498,-1428,0,211.36,211.54,217.22,215.97,215.97,-7,3.87,1926,507,0,10,10,1,212.34,212.2,216.42,215.38,212.2,0,0,6,6,6,0.001,6,212.2,0,0,1926,0.007735494,0.007735494,825,1070,-245,428,1.56,0.002,0.002,0.003,362,-66,213.99
ROKU,1,1,0.787360595,0.212639405,0.726269316,0.799190283,0.611336032,0.698980556,0.771803904,0.639437028,1.169989139,0.735723153,-0.512771329,0,66.44,66.69,67.04,67.43,68.1,68.56,71.43,72.26,71.61,70.83,70.21,69.59,69.37,68.64,65.69,65.96,66.41,66.59,67.65,68.02,69.7,71.71,70.81,70.08,69.39,69.09,68.89,68.14,68.84,0.837,0.777,0.644,0.511,0.006,1.09,0.639,1.634,-1.536,1.669,1.17,3.706,1,1,1,1,3.6,146.7,121.6,3.6,146.7,121.6,0.003798341,0.01937567,0.005658924,-1,482,373,-109,0,66.44,65.69,71.61,70.81,71.61,-2,1.29,138,0,0,138,2638,2500,1,66.69,65.96,70.83,70.08,66.69,37,0.05,620,3050,0,40,40,1,67.04,66.41,70.21,69.39,67.04,1,0,25,25,25,0.006,25,67.04,0,0,620,0.002048314,0.002048314,218,344,-126,0,0.51,0.001,0.001,0.001,118,118,68.84
RVLV,0,0,0.362649294,0.637350706,0.305882353,0.627620222,0.353884094,0.471279974,0.51053803,0.269672798,-1.071733479,0.368161549,0.250510136,0,24.23,24.44,24.53,24.63,24.83,24.9,25.45,26.55,26.21,25.99,25.76,25.66,25.51,25.28,24.62,24.84,25.05,25.12,25.3,25.37,25.69,26.63,26.37,26.14,25.93,25.53,25.41,25.05,25.47,1.06,1.06,1.08,1.1,0.006,1.09,0.27,1.264,-1.536,1.669,-1.072,1.465,0,1,1,1,0,4.9,5,0,4.9,5,0,0.000644544,0.000231485,0,229,0,-229,0,24.44,24.84,26.55,26.63,26.63,-9,#DIV/0!,0,25,0,25,88,63,1,24.53,25.05,26.21,26.37,25.05,3,0.28,254,89,0,2,2,1,24.63,25.12,25.99,26.14,25.12,0,0,1,1,1,0,1,25.12,0,0,254,0.006139476,0.006139476,655,790,-135,764,1.1,0.001,0.001,0.002,255,-509,25.47
RVP,1,1,0.413104275,0.586895725,0.511323004,0.340576682,0.405975763,0.3718412,0.515647109,0.477878295,0.813005973,0.424584739,0.138112072,0,1.91,1.91,1.92,1.92,1.94,1.94,1.94,1.99,1.98,1.98,1.97,1.96,1.95,1.94,1.86,1.88,1.9,1.91,1.92,1.93,1.93,2.02,2.01,2,1.98,1.97,1.95,1.94,1.94,1.033,1.055,1.118,1.182,0.006,1.09,0.478,1.472,-1.536,1.669,0.813,3.349,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,1.88,1.99,2.02,1.99,0,#DIV/0!,1022,811,0,1833,0,-1833,0,1.92,1.9,1.98,2.01,1.98,-926,#DIV/0!,1833,0,0,0,0,0,1.92,1.91,1.98,2,1.98,0,0,0,0,0,0,0,1.98,0,0,1833,0.005653453,0.005653453,603,0,603,0,0,0,0,0,0,0,1.94
RVYL,0,0,0.188174191,0.811825809,0.213434022,0.311742583,0.174885081,0.233493312,0.328437801,1.18203051,1.613457465,0.210050326,0.710977096,0,0.44,0.45,0.46,0.46,0.46,0.47,0.49,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.45,0.45,0.45,0.46,0.47,0.47,0.48,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.48,1.152,1.686,2.218,2.75,0.006,1.09,1.09,2.084,-1.536,1.669,1.613,4.15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.45,0.45,0.51,0.51,0.51,0,#DIV/0!,78,0,0,78,0,-78,0,0.46,0.45,0.5,0.51,0.51,-153,#DIV/0!,80,0,2,0,-2,0,0.46,0.46,0.5,0.5,0.5,-4,0,0,0,0,0,0,0.5,0,0,82,0.007820161,0.007820161,834,0,834,0,0,0,0,0,0,0,0.48
SAM,0,0,0.230922893,0.769077107,0.096146206,0.273715002,0.208524864,0.238906642,0.272174322,0.387808703,0.371539283,0.158587416,0.986225531,0,325.81,326.94,329.51,330.62,331.33,332.25,333.05,344.33,342.73,340.29,337.46,335.65,332.12,327.1,326.77,327.63,328.18,329.75,332.25,333.82,334.99,340.62,339.1,338.2,336.4,335.42,334.3,332.4,334.09,1.129,1.376,2.121,2.866,0.006,1.09,0.388,1.382,-1.536,1.669,0.372,2.908,0,1,1,1,0,98.4,151.7,0,98.4,151.7,0,0.012994081,0.007059867,1,0,0,0,0,326.94,327.63,344.33,340.62,340.62,0,#DIV/0!,0,668,0,668,1769,1101,1,329.51,328.18,342.73,339.1,328.18,3,0.38,668,1818,0,49,49,1,330.62,329.75,340.29,338.2,329.75,0,0,31,31,31,0.007,31,329.75,0,0,668,0.007408371,0.007408371,790,668,122,1670,2.87,0.004,0.004,0.006,663,-1007,334.09
