Date,mine1,mine2
2013-02-26,1.0018901496576638,1.0018901496576638
2013-02-27,1.018159539940971,1.0143491831220495
2013-02-28,1.019227629393867,1.0152166100517248
2013-03-01,1.0255836931859494,1.0218600850981128
2013-03-04,1.0271114857174364,1.0203052133353643
2013-03-05,1.0297790193414316,1.0230667363803159
2013-03-06,1.0287328696031388,1.0212515302719
2013-03-07,1.0350262160868462,1.0266838307214698
2013-03-08,1.0431891431968952,1.0346668476323313
2013-03-11,1.0507832512911546,1.042270822664778
2013-03-12,1.0486856791047297,1.0377955612456944
2013-03-13,1.0452683312214048,1.0344178024437294
2013-03-14,1.0510724444320851,1.037198538271291
2013-03-15,1.0542864453554983,1.0387738565876279
2013-03-18,1.0444547584923856,1.0313178206911173
2013-03-19,1.055470701979813,1.0340839599217875
2013-03-20,1.0594674998455234,1.035235591063499
2013-03-21,1.0565722882528095,1.0368827150230895
2013-03-22,1.0600222416515082,1.0334286277647715
2013-03-25,1.060461575010389,1.0312297005537037
2013-03-26,1.068366353576088,1.0388459209455558
2013-03-27,1.0756968289374684,1.0449165679032992
2013-03-28,1.0748962426513866,1.0470818431863385
2013-04-01,1.0833204881259166,1.0468989080698097
2013-04-02,1.074171062974731,1.037887920307337
2013-04-03,1.0656065046924081,1.0235264401631043
2013-04-04,1.0668788430059661,1.0270830202260797
2013-04-05,1.065162808072095,1.025253062304874
2013-04-08,1.0701583749524193,1.030540800022665
2013-04-09,1.0787409706286712,1.035866473495337
2013-04-10,1.097634895276516,1.0521505029844531
2013-04-11,1.094955599206321,1.045985455825911
2013-04-12,1.091120005589562,1.0400231021756041
2013-04-15,1.0518055461929334,1.0040516866592528
2013-04-16,1.0638644552421186,1.0164906113782572
2013-04-17,1.0522525867851071,1.0054761855501362
2013-04-18,1.054451695392019,1.0062535688442513
2013-04-19,1.0825502627768933,1.034968003432052
2013-04-22,1.0851530758704742,1.0398117600333787
2013-04-23,1.0846730327087153,1.0359970663331173
2013-04-24,1.0987230931799765,1.045867015618743
2013-04-25,1.1286008012497395,1.0775246751448786
2013-04-26,1.1268889660826253,1.0752879033163751
2013-04-29,1.1323967283462264,1.0792136899823908
2013-04-30,1.1427288628928645,1.0937007306570758
2013-05-01,1.1201301223011901,1.0553523628183314
2013-05-02,1.1538768165669528,1.077388594812336
2013-05-03,1.1748274974232875,1.0914090837239943
2013-05-06,1.1854838306595858,1.1042511037106002
2013-05-07,1.1912941320467965,1.1080321814785632
2013-05-08,1.190344856543398,1.1052094534001526
2013-05-09,1.200962269245469,1.1094810829375505
2013-05-10,1.2086593393811047,1.119248148543649
2013-05-13,1.2152562728684826,1.1261857011453587
2013-05-14,1.2335482058191216,1.152402422069899
2013-05-15,1.2399030883727888,1.1594380621152558
2013-05-16,1.2353955273846238,1.1552145898896455
2013-05-17,1.2327105805980954,1.1551151942299729
2013-05-20,1.2304439119181663,1.1525669460028072
2013-05-21,1.2304411338516306,1.1504878613677747
2013-05-22,1.223109017204456,1.1404082561800863
2013-05-23,1.2277602859265357,1.1452978419076536
2013-05-24,1.23822648012594,1.1541973559285859
2013-05-28,1.2445381648495673,1.1595497736780018
2013-05-29,1.2407330181233358,1.1539966497049623
2013-05-30,1.2534661576758679,1.1638705592261431
2013-05-31,1.2471774650914047,1.153406785347961
2013-06-03,1.2451392362037181,1.1498619259166933
2013-06-04,1.2347776527912602,1.1411518780165801
2013-06-05,1.2204941968057412,1.1257347387214849
2013-06-06,1.2460415358976575,1.1459729061992319
2013-06-07,1.2568287036657513,1.157361194405458
2013-06-10,1.2717723392616134,1.1685670464769191
2013-06-11,1.2585204091998738,1.131366995725066
2013-06-12,1.2560426806498695,1.1266933792978657
2013-06-13,1.2716983497240195,1.1420043894808065
2013-06-14,1.2635807707374471,1.1304675864841234
2013-06-17,1.2985935293932955,1.1687495665057872
2013-06-18,1.3060333745167718,1.1733939314016304
2013-06-19,1.2923582835949923,1.156155719322053
2013-06-20,1.2552267207005714,1.1201718016981093
2013-06-21,1.266276059489386,1.1343924764971756
2013-06-24,1.2490519180793156,1.1230185933368224
2013-06-25,1.250595519848462,1.1150118887670142
2013-06-26,1.251095636994114,1.1195412973138616
2013-06-27,1.2584787353292395,1.1268420604125586
2013-06-28,1.278847860823348,1.1471349814204292
2013-07-01,1.2919511624901026,1.1586487375685055
2013-07-02,1.2873826557331478,1.155981437856005
2013-07-03,1.2973171588776633,1.1611580969389834
2013-07-05,1.3069989293668112,1.1727100482386839
2013-07-08,1.3148099280867727,1.1774479225118064
2013-07-09,1.3174376473130966,1.1807747371074568
2013-07-10,1.321405462934329,1.1819130042383599
2013-07-11,1.3472886805942605,1.1940149246169056
2013-07-12,1.3491856819513808,1.1994435443712121
2013-07-15,1.3562876633070513,1.205049178397844
2013-07-16,1.343399440951904,1.184034125581788
2013-07-17,1.3468515057885266,1.1869234221898448
2013-07-18,1.3587298101936862,1.1956090776462487
2013-07-19,1.3701097901610313,1.2022455852514455
2013-07-22,1.3822047329380063,1.2106386798688247
2013-07-23,1.378204423228727,1.2021521927925825
2013-07-24,1.370372719239901,1.1945450498120052
2013-07-25,1.3897838768537298,1.2143503100105149
2013-07-26,1.3872691363096563,1.2099733200995157
2013-07-29,1.3818099659473393,1.205754294058364
2013-07-30,1.3798489759068566,1.206372387671132
2013-07-31,1.3877138374653528,1.209751977605674
2013-08-01,1.4010831095419227,1.2198981269033322
2013-08-02,1.3996476016334531,1.2222194992326536
2013-08-05,1.4028375399367294,1.2262558420832306
2013-08-06,1.3904652362971672,1.2142568174736927
