stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe
AAON,63.40999984741211,1,0.7649880095923262,0.23501199040767384,0.9062003179650239,0.4088628762541806,0.6528806480402388,1.5125913209212822
AAPL,193.4199981689453,1,0.8213429256594724,0.17865707434052758,0.915341812400636,0.4243311036789298,0.9891787949430171,3.5711874998724813
ABBV,144.57000732421875,1,0.7541966426858513,0.2458033573141487,0.9924483306836248,0.41011705685618727,0.6759588898779598,2.2424823835225065
ABNB,133.7100067138672,1,0.8331071913161465,0.16689280868385348,0.7949400798934754,0.5885167464114832,0.2170840126640145,1.9083827684800139
ACN,335.8299865722656,1,0.8764988009592326,0.1235011990407674,0.9463434022257552,0.5827759197324415,0.8103218924796876,2.9569484002954542
ADBE,602.219970703125,0,0.5147881694644284,0.4852118305355716,0.3863275039745628,0.7771739130434783,0.9008211263864271,3.3898109570698347
ADSK,220.4499969482422,1,0.6786570743405276,0.3213429256594724,0.7496025437201908,0.4460702341137124,0.6113157165753341,2.4321739042120134
ADUS,91.69999694824219,1,0.9064748201438849,0.09352517985611508,0.8604928457869634,0.49289297658862874,0.49755389208308154,1.7540349568392999
ADYEY,12.149999618530273,1,0.9758919961427194,0.024108003857280624,0.9790675547098002,0.6084142394822006,0.5650905600410018,4.410529783077738
AGM,169.9499969482422,1,0.8225419664268585,0.1774580335731415,0.96939586645469,0.5129598662207357,0.7046793333555746,0.9887801065617009
AMBA,56.689998626708984,1,0.7278177458033573,0.27218225419664266,0.5699523052464229,0.27884615384615385,0.4328926792840634,1.7629932959376005
AMD,118.37999725341797,1,0.5643485211830536,0.43565147881694644,0.5186804451510334,0.4908026755852843,0.884529719311568,2.2111956449941177
AMGN,270.8699951171875,0,0.5827338129496403,0.41726618705035967,0.9670111287758346,0.8068561872909699,0.5859890884926334,1.8395350882363757
AMZN,146.8800048828125,1,0.6762589928057554,0.3237410071942446,0.6868044515103339,0.5877926421404682,0.7779327734931175,2.551119612578982
ANET,215.7100067138672,0,0.6105971404541631,0.38940285954583687,0.5459866220735786,0.7574955908289241,0.8796330324358554,2.4094520486311004
APO,90.7300033569336,1,0.6634692246203038,0.3365307753796962,0.9288553259141494,0.5501672240802675,0.6553235261328814,2.651768707321131
AREN,3.119999885559082,1,0.4952038369304556,0.5047961630695443,0.6736883942766295,0.49414715719063546,0.5539499317422658,0.9918981273511
ASML,694.530029296875,1,0.8477218225419664,0.15227817745803363,0.9296502384737679,0.38377926421404684,0.7871825386430952,2.7041545438354273
AVGO,913.1199951171875,0,0.20223820943245405,0.7977617905675459,0.8040540540540541,0.23536789297658864,1.1071305680287775,2.5369439567817653
AXON,231.72000122070312,1,0.7070343725019984,0.2929656274980016,0.6232114467408585,0.5844481605351171,0.7781947348979201,1.5336547272398522
AXP,170.67999267578125,1,0.9448441247002398,0.05515587529976018,0.9634340222575517,0.6831103678929766,0.42447896038898786,2.185279748655875
AZO,2671.1298828125,1,0.6338928856914469,0.36610711430855314,0.5814785373608903,0.5071070234113713,0.8244178399987158,1.1395423758921965
BAH,128.0500030517578,0,0.5259792166266987,0.47402078337330134,0.9300476947535771,0.7081939799331104,1.0141339160367535,1.2315881263318884
BBY,74.0,1,0.873701039168665,0.12629896083133496,0.9984101748807631,0.36872909698996653,0.43070901391043687,1.3409997126220703
BCC,113.41999816894531,1,0.9356514788169464,0.06434852118305356,0.9900635930047694,0.8520066889632107,0.65272216590088,1.590022416587136
BROS,27.010000228881836,0,0.47619047619047616,0.5238095238095238,0.3982142857142857,0.7201834862385321,0.17995074816158999,2.352481083859424
BYND,8.850000381469727,1,0.9449300699300699,0.055069930069930106,0.9758203799654577,0.5638297872340425,-0.11706234628471675,-0.04257296578825157
CDW,210.41000366210938,0,0.2997601918465228,0.7002398081534772,0.7658982511923689,0.5464046822742475,0.9714216512935514,2.5787214735816915
CF,73.22000122070312,0,0.058353317346123104,0.9416466826538769,0.7269475357710652,0.33988294314381273,0.38314758321475034,1.234466074513833
CHWY,18.420000076293945,1,0.37163375224416517,0.6283662477558348,0.42907801418439717,0.07768924302788845,0.1065972901448431,1.1863019466057856
CME,218.33999633789062,0,0.6402877697841727,0.3597122302158273,0.9682034976152624,0.8206521739130435,0.7063740773582612,1.564487946571491
CMG,2226.25,1,0.9160671462829736,0.08393285371702641,0.787758346581876,0.6630434782608695,0.5886157403046993,1.0271528716350573
CNC,75.01000213623047,1,0.7118305355715427,0.28816946442845726,0.7400635930047694,0.6149665551839465,0.6384430682941259,1.3706958888971428
COF,115.31999969482422,1,0.9924060751398881,0.0075939248601119,0.983704292527822,0.8448996655518395,0.3618685887233655,1.8222776462444121
COST,605.3499755859375,1,0.8493205435651479,0.15067945643485214,0.9662162162162162,0.6396321070234113,0.9576256189697113,2.0638655545361404
CPNG,15.399999618530273,0,0.23372781065088757,0.7662721893491125,0.427536231884058,0.3957597173144876,-0.37442577235365204,-1.4794872261127479
CPRT,48.790000915527344,0,0.3844924060751399,0.6155075939248601,0.21621621621621623,0.3290133779264214,1.0408755283969178,2.31028010297641
CROX,102.19999694824219,1,0.8129496402877698,0.18705035971223016,0.8342607313195548,0.3988294314381271,0.6471598841427179,1.7423928423617934
CRWD,238.97000122070312,1,0.9982078853046595,0.0017921146953404632,0.9008849557522124,0.8061630218687873,0.8248443590790497,2.34979724383062
CSCO,47.93000030517578,0,0.06115107913669065,0.9388489208633094,0.870429252782194,0.07755016722408027,0.576693677994957,2.06481941353291
CTSH,70.12999725341797,1,0.7158273381294964,0.2841726618705036,0.9372019077901431,0.6429765886287625,0.30739540540079985,0.9024765724012209
DASH,96.23500061035156,1,0.8509485094850948,0.14905149051490518,0.6981382978723404,0.7261146496815286,0.0012479404159562958,0.49835612740861435
DDOG,118.06999969482422,1,0.9713467048710601,0.028653295128939882,0.8906691800188501,0.7161152614727855,0.7404496850735129,2.6769197299306935
DGX,134.88999938964844,1,0.5275779376498801,0.47242206235011985,0.9220985691573926,0.3910953177257525,0.5480928770941893,1.212646033464479
DIS,90.79000091552734,0,0.5155875299760192,0.4844124700239808,0.7019077901430842,0.5890468227424749,0.2590495270168686,1.567468149833533
DKS,137.17999267578125,1,0.9652278177458034,0.03477218225419665,0.996422893481717,0.6421404682274248,0.4856987819194622,0.6311268494311911
DOCS,23.790000915527344,1,0.6898839137645107,0.31011608623548925,0.586709886547812,0.49290060851926976,-0.06894792072419144,1.0955128640403067
DOCU,46.060001373291016,1,0.871244635193133,0.128755364806867,0.7896600566572238,0.421583850931677,0.35604413937461854,2.2262796035564802
DPZ,394.04998779296875,1,0.820943245403677,0.17905675459632298,0.958664546899841,0.7905518394648829,0.7738016754977458,1.526146849945611
DXCM,117.19999694824219,1,0.9336530775379697,0.06634692246203033,0.9527027027027027,0.6003344481605352,0.7876702473810222,1.9622548231535275
EDIT,10.979999542236328,1,0.9581632653061225,0.0418367346938775,0.9316109422492401,0.8913513513513514,0.29801784642391516,1.8004890990974576
EME,211.77000427246094,0,0.40047961630695444,0.5995203836930456,0.5874403815580286,0.5702341137123745,0.7378322040474571,1.3282650619706615
ENPH,110.0,1,0.8597122302158273,0.14028776978417268,0.8970588235294118,0.3729096989966555,0.7611780817267361,1.4315013793683509
ENSG,108.23999786376953,1,0.8049560351718625,0.19504396482813746,0.7571542130365659,0.5844481605351171,0.8086465841555275,1.425822800727769
EPAM,255.3300018310547,1,0.5379696243005595,0.4620303756994405,0.4467408585055644,0.4318561872909699,0.6763408521020405,3.2309415487707134
ETN,225.60000610351562,1,0.5599520383693045,0.4400479616306955,0.9213036565977742,0.5472408026755853,0.6463246174654771,1.7679720426892327
ETSY,81.66000366210938,1,0.9380203515263644,0.061979648473635574,0.9103860294117647,0.4264132553606238,0.49294567745455653,1.7092554239812678
EW,68.8499984741211,1,0.6163069544364509,0.3836930455635491,0.654610492845787,0.09740802675585285,0.7388987057419986,2.114716359038052
FANG,150.14999389648438,0,0.08872901678657075,0.9112709832134293,0.8449920508744038,0.4816053511705686,0.5305809078089804,0.7064482315947097
FAST,60.75,1,0.771382893685052,0.22861710631494803,0.9689984101748808,0.5677257525083612,0.5910964684074326,1.213760092066123
FICO,1131.0400390625,1,0.9920063948840927,0.007993605115907298,0.9682034976152624,0.8453177257525084,1.0282295085078663,2.1333095330247067
FLGT,25.950000762939453,1,0.2140468227424749,0.7859531772575251,0.35398230088495575,0.2695961995249406,0.5848327393150953,0.7271385011306114
FN,164.83999633789062,0,0.39888089528377296,0.601119104716227,0.4030206677265501,0.6939799331103679,0.7204025811387623,1.137802605709194
FTNT,52.52000045776367,1,0.24260591526778577,0.7573940847322143,0.36923688394276627,0.0338628762541806,0.8900596158431602,3.311967294468492
GH,26.40999984741211,1,0.6822066822066822,0.31779331779331776,0.7916986933128363,0.3517417162276975,0.2944114850266723,1.80312531946035
GIL,37.02000045776367,1,0.9944044764188649,0.005595523581135131,0.9741653418124007,0.9051003344481605,0.32633655481584267,1.0413255788077078
GMED,45.34000015258789,1,0.2446043165467626,0.7553956834532374,0.26669316375198726,0.046822742474916385,0.4240807751301552,1.4272258080154272
GOOG,132.38999938964844,0,0.21342925659472423,0.7865707434052758,0.21621621621621623,0.3666387959866221,0.7153128285912753,3.0461900386168677
GPS,20.780000686645508,1,0.996802557953637,0.003197442046362964,0.9952305246422893,0.9690635451505016,0.19351207726910694,0.5387121195033201
GTLS,125.83000183105469,1,0.3381294964028777,0.6618705035971223,0.345389507154213,0.24790969899665552,0.3412511407890263,1.2342733549821807
HCA,252.50999450683594,1,0.6526778577138289,0.3473221422861711,0.9145468998410174,0.20693979933110368,0.6939619462865362,1.7755907769853794
HD,323.5,1,0.9532374100719424,0.046762589928057596,0.9996025437201908,0.5861204013377926,0.8008750755627219,2.487679737085264
IDXX,518.9500122070312,1,0.9540367705835332,0.0459632294164668,0.9920508744038156,0.5551839464882943,0.9011645083191708,2.182671454189308
IEFA,67.51000213623047,1,0.815347721822542,0.184652278177458,0.9773449920508744,0.5146321070234113,0.3279133681486439,2.3028128678016437
ISRG,309.5199890136719,1,0.6746602717825739,0.32533972821742607,0.7209856915739269,0.30434782608695654,0.7867513692544246,2.4631203834879267
IVV,458.75,1,0.8796962430055956,0.12030375699440443,0.9682034976152624,0.5581103678929766,0.7149187869083142,4.441943638073222
JD,26.1200008392334,1,0.20770519262981574,0.7922948073701843,0.35845129059117403,0.10886742756804214,0.29380138421006163,1.7929043904909145
