,sharpe,sharpe_0,sharpe_1,sharpe_2,sharpe_3
AVAV,0.5412335443708858,-1.2021829785560805,1.529634228868843,1.9925916723305743,0.9633376625849438
AVEO,0.1865313777000842,-0.9524823377653542,-0.0786262445455268,0.5482807556635645,0.7396883157036368
AVRO,-0.4914016147758517,-1.302760902723836,-0.4958335715598811,-3.1355043765853376,1.097378145019026
AXDX,0.3015945495191149,-1.1338884420093354,0.9394265029214368,2.0605089229044693,0.986136021307907
AYRO,-0.1803214106017729,-0.8543970729659612,0.875604695548358,-1.8488798458249869,0.0313847097398141
CYTO,-0.0625502724492026,-0.5371963281290906,0.65680676194358,-0.0430577770901525,-0.7438017617457735
LNT,0.7773078536810414,-0.2712441220564827,2.0287982963647253,1.03815934299297,1.2288986684422567
MDRX,0.3185586971329257,-1.209054356070684,1.7109770940095923,1.855923100240752,0.6341794285806138
TCRT,0.3591555323949388,-0.4982440149645023,0.974040906356754,1.2245277323681627,0.4760433279302709
AESE,-0.024983693302092245,-0.1542658505218381,0.1144898346002133,1.72707663166487,-0.3763322801503787
ALGT,0.34320174066683695,-1.142299272447027,2.061563462826948,1.470813260862324,0.8402505441764292
ALKS,0.2983288410041843,-2.07045434305534,1.861401258832276,0.1529074396072798,1.4206464723571008
ALPP,1.1554111535989178,-0.25304323617092805,2.7176992551232346,0.9620759113952706,1.404003464186832
ALT,0.34599923894960793,0.7392481301683225,0.5880377543879575,-2.662819566615703,0.2925910718230608
ALYA,0.21460264858453698,-0.6467740075960933,0.4260949005388126,1.0406753911647646,0.5842779030232588
ASPS,0.07782789740448977,-1.0947014000467614,-0.46843567886051873,1.1303013013465593,0.9305605415754957
GOOG,0.8451082742605297,-2.077314899316527,2.6120205186668803,1.3299429107639504,2.902670613516954
WTER,0.07759889861701673,-0.04502120872822907,-0.49181192080790226,1.1481231759732835,0.07834430321053637
